Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 124, 0, 0, 1.046, 1.046, 13312, 0, 1.046, 3.703, 2.657, 1300, 3.703, 4.835, 1.132, 13312, 0, 4.835, 7.301, 2.466, 1950, 7.301, 8.375, 1.074, 9216, 0, 8.375, 11.088, 2.713, 1350, 11.088, 12.26, 1.172, 12288, 0,    12.260,
 1, 124, 1, 1, 2.364, 1.364, 13312, 0, 2.364, 4.945, 2.581, 1364, 4.945, 5.931, 0.986, 13312, 0, 5.931, 8.312, 2.38, 1950, 8.312, 9.502, 1.19, 9216, 0, 9.502, 12.125, 2.624, 1350, 12.125, 13.363, 1.237, 12288, 0,    12.363,
 2, 124, 2, 2, 3.463, 1.463, 13312, 0, 3.463, 5.994, 2.531, 1325, 5.994, 7.207, 1.213, 13312, 0, 7.207, 9.656, 2.449, 1950, 9.656, 11.006, 1.35, 9216, 0, 11.006, 13.448, 2.442, 1350, 13.448, 14.721, 1.273, 12288, 0,    12.721,
 3, 124, 3, 3, 4.758, 1.758, 12288, 0, 4.758, 7.356, 2.599, 1269, 7.356, 8.302, 0.945, 12288, 0, 8.302, 10.641, 2.339, 1800, 10.641, 12.074, 1.433, 9216, 0, 12.074, 14.412, 2.338, 1350, 14.412, 16.021, 1.609, 12288, 0,    13.021,
 4, 124, 4, 4, 5.983, 1.983, 12288, 0, 5.983, 8.601, 2.618, 1234, 8.601, 9.656, 1.054, 12288, 0, 9.656, 12.595, 2.94, 1800, 12.595, 13.807, 1.212, 9216, 0, 13.807, 16.343, 2.536, 1350, 16.343, 17.58, 1.237, 12288, 0,    13.580,
 5, 124, 5, 5, 7.18, 2.18, 10240, 0, 7.18, 9.424, 2.244, 1063, 9.424, 10.402, 0.978, 10240, 0, 10.402, 13.254, 2.852, 1500, 13.254, 14.551, 1.296, 7168, 0, 14.551, 16.738, 2.187, 1050, 16.738, 18.449, 1.711, 9216, 0,    13.449,
 6, 124, 6, 6, 8.32, 2.32, 10240, 0, 8.32, 10.736, 2.416, 1081, 10.736, 11.659, 0.923, 10240, 0, 11.659, 14.604, 2.945, 1500, 14.604, 15.357, 0.753, 7168, 0, 15.357, 18.294, 2.937, 1050, 18.294, 19.117, 0.823, 9216, 0,    13.117,
 7, 124, 7, 7, 9.454, 2.454, 14336, 0, 9.454, 12.432, 2.978, 1414, 12.432, 13.653, 1.221, 14336, 0, 13.653, 16.079, 2.426, 2100, 16.079, 17.032, 0.953, 10240, 0, 17.032, 19.376, 2.344, 1500, 19.376, 20.631, 1.255, 13312, 0,    13.631,
 8, 124, 8, 8, 10.451, 2.451, 12288, 0, 10.451, 13.622, 3.172, 1284, 13.622, 14.795, 1.173, 12288, 0, 14.795, 17.141, 2.346, 1800, 17.141, 18.265, 1.124, 9216, 0, 18.265, 20.62, 2.355, 1350, 20.62, 21.624, 1.003, 12288, 0,    13.624,
 9, 124, 9, 9, 11.682, 2.682, 14336, 0, 11.682, 15.965, 4.283, 1430, 15.965, 17.162, 1.197, 14336, 0, 17.162, 19.629, 2.466, 2100, 19.629, 20.761, 1.133, 10240, 0, 20.761, 23.246, 2.484, 1500, 23.246, 24.442, 1.197, 13312, 0,    15.442,
 10, 124, 10, 10, 12.627, 2.627, 10240, 0, 12.627, 16.319, 3.692, 1098, 16.319, 18.108, 1.789, 10240, 0, 18.108, 19.789, 1.681, 1500, 19.789, 21.83, 2.041, 7168, 0, 21.83, 23.349, 1.519, 1050, 23.349, 25.091, 1.742, 9216, 0,    15.091,
 11, 124, 11, 11, 13.622, 2.622, 10240, 0, 13.622, 18.648, 5.026, 1072, 18.648, 19.863, 1.215, 10240, 0, 19.863, 21.438, 1.575, 1500, 21.438, 22.711, 1.273, 7168, 0, 22.711, 24.791, 2.08, 1050, 24.791, 25.96, 1.169, 9216, 0,    14.960,
 12, 124, 12, 12, 14.83, 2.83, 13312, 0, 14.83, 19.314, 4.484, 1303, 19.314, 21.093, 1.779, 13312, 0, 21.093, 23.413, 2.32, 1950, 23.413, 24.614, 1.201, 9216, 0, 24.614, 26.695, 2.082, 1350, 26.695, 27.585, 0.889, 12288, 0,    15.585,
 13, 124, 13, 13, 15.712, 2.712, 10240, 0, 15.712, 20.63, 4.919, 1071, 20.63, 21.838, 1.207, 10240, 0, 21.838, 23.707, 1.87, 1500, 23.707, 25.652, 1.945, 7168, 0, 25.652, 27.312, 1.66, 1050, 27.312, 28.372, 1.06, 9216, 0,    15.372,
 14, 124, 14, 14, 16.736, 2.736, 11264, 0, 16.736, 21.382, 4.646, 1115, 21.382, 22.729, 1.348, 11264, 0, 22.729, 25.493, 2.763, 1650, 25.493, 26.46, 0.967, 8192, 0, 26.46, 28.389, 1.929, 1200, 28.389, 29.27, 0.881, 10240, 0,    15.270,
 15, 124, 15, 15, 17.715, 2.715, 11264, 0, 17.715, 22.593, 4.878, 1159, 22.593, 23.667, 1.074, 11264, 0, 23.667, 25.668, 2.001, 1650, 25.668, 27.314, 1.647, 8192, 0, 27.314, 29.093, 1.779, 1200, 29.093, 30.013, 0.919, 10240, 0,    15.013,
 16, 124, 16, 16, 18.624, 2.624, 11264, 0, 18.624, 23.405, 4.781, 1113, 23.405, 24.543, 1.139, 11264, 0, 24.543, 27.302, 2.759, 1650, 27.302, 28.473, 1.17, 8192, 0, 28.473, 30.821, 2.348, 1200, 30.821, 31.921, 1.1, 10240, 0,    15.921,
 17, 124, 17, 17, 19.568, 2.568, 12288, 0, 19.568, 24.692, 5.124, 1205, 24.692, 26.208, 1.517, 12288, 0, 26.208, 28.295, 2.087, 1800, 28.295, 29.435, 1.14, 9216, 0, 29.435, 32.034, 2.599, 1350, 32.034, 33.082, 1.048, 12288, 0,    16.082,
 18, 124, 18, 18, 20.427, 2.427, 10240, 0, 20.427, 25.091, 4.664, 1076, 25.091, 27.179, 2.088, 10240, 0, 27.179, 28.993, 1.814, 1500, 28.993, 30.153, 1.16, 7168, 0, 30.153, 32.785, 2.632, 1050, 32.785, 33.918, 1.133, 9216, 0,    15.918,
 19, 124, 19, 19, 21.733, 2.733, 12288, 0, 21.733, 27.291, 5.558, 1285, 27.291, 28.192, 0.901, 12288, 0, 28.192, 30.084, 1.891, 1800, 30.084, 31.081, 0.997, 9216, 0, 31.081, 34.712, 3.631, 1350, 34.712, 35.639, 0.927, 12288, 0,    16.639,
 20, 124, 20, 20, 22.867, 2.867, 12288, 0, 22.867, 27.601, 4.734, 1230, 27.601, 29.116, 1.515, 12288, 0, 29.116, 31.139, 2.023, 1800, 31.139, 32.319, 1.181, 9216, 0, 32.319, 35.311, 2.992, 1350, 35.311, 36.708, 1.397, 12288, 0,    16.708,
 21, 124, 21, 21, 24.539, 3.539, 13312, 0, 24.539, 29.616, 5.076, 1386, 29.616, 30.885, 1.269, 13312, 0, 30.885, 33.35, 2.465, 1950, 33.35, 34.451, 1.101, 9216, 0, 34.451, 37.08, 2.629, 1350, 37.08, 37.963, 0.883, 12288, 0,    16.963,
