Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 56, 1053, 56, 56, 57.185, 1.185, 15360, 0, 57.185, 59.518, 2.333, 2275, 59.518, 60.65, 1.132, 11264, 0, 60.65, 62.898, 2.248, 1650, 62.898, 63.927, 1.028, 14336, 0,     7.927,
 57, 1053, 57, 57, 58.288, 1.288, 14336, 0, 58.288, 60.532, 2.244, 2189, 60.532, 61.674, 1.142, 10240, 0, 61.674, 63.742, 2.068, 1500, 63.742, 64.877, 1.135, 13312, 0,     7.877,
 58, 1053, 58, 58, 59.24, 1.24, 12288, 0, 59.24, 61.415, 2.175, 1850, 61.415, 62.596, 1.182, 9216, 0, 62.596, 64.748, 2.151, 1350, 64.748, 65.765, 1.017, 12288, 0,     7.765,
 59, 1053, 59, 59, 60.185, 1.185, 12288, 0, 60.185, 62.417, 2.231, 1838, 62.417, 63.518, 1.102, 9216, 0, 63.518, 65.595, 2.077, 1350, 65.595, 66.647, 1.051, 12288, 0,     7.647,
 60, 1053, 60, 60, 60.983, 0.983, 10240, 0, 60.983, 63.027, 2.044, 1568, 63.027, 64.242, 1.215, 7168, 0, 64.242, 66.183, 1.941, 1050, 66.183, 67.307, 1.123, 9216, 0,     7.307,
 61, 1053, 61, 61, 62.11, 1.11, 14336, 0, 62.11, 64.609, 2.499, 2132, 64.609, 65.643, 1.034, 10240, 0, 65.643, 67.694, 2.051, 1500, 67.694, 68.645, 0.951, 13312, 0,     7.645,
 62, 1053, 62, 62, 63.217, 1.217, 14336, 0, 63.217, 65.492, 2.275, 2208, 65.492, 66.778, 1.286, 11264, 0, 66.778, 69.031, 2.253, 1650, 69.031, 70.056, 1.024, 14336, 0,     8.056,
 63, 1053, 63, 63, 64.407, 1.407, 15360, 0, 64.407, 66.918, 2.512, 2252, 66.918, 68.051, 1.132, 11264, 0, 68.051, 70.31, 2.259, 1650, 70.31, 71.339, 1.029, 14336, 0,     8.339,
 64, 1053, 64, 64, 65.36, 1.36, 12288, 0, 65.36, 67.372, 2.011, 1819, 67.372, 68.972, 1.6, 9216, 0, 68.972, 70.883, 1.911, 1350, 70.883, 72.217, 1.333, 12288, 0,     8.217,
 65, 1053, 65, 65, 66.149, 1.149, 10240, 0, 66.149, 68.579, 2.43, 1620, 68.579, 69.791, 1.212, 8192, 0, 69.791, 71.956, 2.165, 1200, 71.956, 72.952, 0.996, 10240, 0,     7.952,
 66, 1053, 66, 66, 66.943, 0.943, 10240, 0, 66.943, 69.019, 2.076, 1607, 69.019, 70.614, 1.595, 8192, 0, 70.614, 72.526, 1.912, 1200, 72.526, 73.683, 1.157, 10240, 0,     7.683,
 67, 1053, 67, 67, 67.868, 0.868, 11264, 0, 67.868, 70.338, 2.47, 1716, 70.338, 71.435, 1.097, 8192, 0, 71.435, 73.602, 2.167, 1200, 73.602, 74.415, 0.813, 10240, 0,     7.415,
 68, 1053, 68, 68, 69.188, 1.188, 15360, 0, 69.188, 71.519, 2.331, 2273, 71.519, 72.653, 1.134, 11264, 0, 72.653, 74.909, 2.256, 1650, 74.909, 75.94, 1.031, 14336, 0,     7.940,
 69, 1053, 69, 69, 70.291, 1.291, 14336, 0, 70.291, 72.615, 2.324, 2221, 72.615, 73.784, 1.17, 11264, 0, 73.784, 76.042, 2.257, 1650, 76.042, 77.066, 1.024, 14336, 0,     8.066,
 70, 1053, 70, 70, 71.164, 1.164, 11264, 0, 71.164, 73.316, 2.152, 1753, 73.316, 74.604, 1.288, 8192, 0, 74.604, 76.559, 1.956, 1200, 76.559, 77.798, 1.238, 10240, 0,     7.798,
 71, 1053, 71, 71, 72.118, 1.118, 12288, 0, 72.118, 74.541, 2.423, 1865, 74.541, 75.525, 0.985, 9216, 0, 75.525, 77.889, 2.364, 1350, 77.889, 78.772, 0.882, 12288, 0,     7.772,
 72, 1053, 72, 72, 73.069, 1.069, 12288, 0, 73.069, 75.26, 2.191, 1896, 75.26, 76.452, 1.192, 9216, 0, 76.452, 78.406, 1.954, 1350, 78.406, 79.658, 1.252, 12288, 0,     7.658,
 73, 1053, 73, 73, 73.936, 0.936, 11264, 0, 73.936, 76.343, 2.407, 1758, 76.343, 77.281, 0.939, 8192, 0, 77.281, 79.535, 2.253, 1200, 79.535, 80.39, 0.855, 10240, 0,     7.390,
 74, 1053, 74, 74, 74.878, 0.878, 11264, 0, 74.878, 77.074, 2.196, 1769, 77.074, 78.101, 1.026, 8192, 0, 78.101, 80.058, 1.957, 1200, 80.058, 81.125, 1.067, 10240, 0,     7.125,
 75, 1053, 75, 75, 75.79, 0.79, 10240, 0, 75.79, 77.987, 2.197, 1589, 77.987, 78.817, 0.83, 7168, 0, 78.817, 80.976, 2.159, 1050, 80.976, 81.793, 0.816, 9216, 0,     6.793,
 76, 1053, 76, 76, 76.956, 0.956, 12288, 0, 76.956, 78.967, 2.011, 1846, 78.967, 79.902, 0.935, 9216, 0, 79.902, 81.914, 2.012, 1350, 81.914, 82.794, 0.88, 12288, 0,     6.794,
 77, 1053, 77, 77, 78.192, 1.192, 15360, 0, 78.192, 80.534, 2.342, 2284, 80.534, 81.666, 1.132, 11264, 0, 81.666, 83.922, 2.255, 1650, 83.922, 84.947, 1.025, 14336, 0,     7.947,
 78, 1053, 78, 78, 78.98, 0.98, 10240, 0, 78.98, 80.677, 1.697, 1642, 80.677, 82.487, 1.81, 8192, 0, 82.487, 84.136, 1.649, 1200, 84.136, 85.68, 1.545, 10240, 0,     7.680,
