Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 18, 14, 18, 18, 19.203, 1.203, 10240, 0, 19.203, 22.171, 2.967, 523, 22.171, 23.194, 1.024, 15360, 0, 23.194, 24.28, 1.086, 1200, 24.28, 25.193, 0.912, 7168, 0, 25.193, 26.455, 1.262, 700, 26.455, 26.632, 0.177, 3072, 0,     8.632,
 19, 14, 19, 19, 20.27, 1.27, 11264, 0, 20.27, 23.356, 3.086, 595, 23.356, 24.437, 1.081, 17408, 0, 24.437, 25.439, 1.002, 1360, 25.439, 26.455, 1.016, 8192, 0, 26.455, 27.58, 1.125, 800, 27.58, 27.822, 0.242, 4096, 0,     8.822,
 20, 14, 20, 20, 21.387, 1.387, 11264, 0, 21.387, 24.381, 2.993, 568, 24.381, 25.511, 1.13, 17408, 0, 25.511, 26.512, 1.001, 1360, 26.512, 27.416, 0.904, 8192, 0, 27.416, 28.516, 1.1, 800, 28.516, 28.74, 0.223, 4096, 0,     8.740,
 21, 14, 21, 21, 22.322, 1.322, 9216, 0, 22.322, 25.247, 2.924, 462, 25.247, 26.342, 1.095, 13312, 0, 26.342, 27.373, 1.032, 1040, 27.373, 28.142, 0.768, 6144, 0, 28.142, 29.233, 1.091, 600, 29.233, 29.401, 0.169, 3072, 0,     8.401,
 22, 14, 22, 22, 23.285, 1.285, 10240, 0, 23.285, 26.292, 3.007, 540, 26.292, 27.291, 0.999, 16384, 0, 27.291, 28.386, 1.095, 1280, 28.386, 29.524, 1.139, 8192, 0, 29.524, 30.591, 1.067, 800, 30.591, 30.85, 0.259, 4096, 0,     8.850,
 23, 14, 23, 23, 24.188, 1.188, 9216, 0, 24.188, 27.196, 3.008, 459, 27.196, 28.075, 0.878, 13312, 0, 28.075, 29.187, 1.113, 1040, 29.187, 30.259, 1.071, 6144, 0, 30.259, 31.306, 1.047, 600, 31.306, 31.488, 0.182, 3072, 0,     8.488,
 24, 14, 24, 24, 25.199, 1.199, 10240, 0, 25.199, 28.166, 2.967, 500, 28.166, 29.078, 0.912, 15360, 0, 29.078, 30.126, 1.048, 1200, 30.126, 31.051, 0.924, 7168, 0, 31.051, 32.212, 1.161, 700, 32.212, 32.408, 0.196, 3072, 0,     8.408,
 25, 14, 25, 25, 26.364, 1.364, 13312, 0, 26.364, 29.459, 3.095, 652, 29.459, 30.655, 1.196, 19456, 0, 30.655, 31.803, 1.148, 1520, 31.803, 32.966, 1.164, 9216, 0, 32.966, 34.102, 1.136, 900, 34.102, 34.392, 0.29, 5120, 0,     9.392,
 26, 14, 26, 26, 27.148, 1.148, 9216, 0, 27.148, 30.343, 3.194, 474, 30.343, 31.532, 1.189, 14336, 0, 31.532, 32.644, 1.113, 1120, 32.644, 33.822, 1.178, 7168, 0, 33.822, 34.938, 1.115, 700, 34.938, 35.118, 0.18, 3072, 0,     9.118,
 27, 14, 27, 27, 28.168, 1.168, 11264, 0, 28.168, 31.445, 3.278, 563, 31.445, 32.473, 1.028, 16384, 0, 32.473, 33.615, 1.142, 1280, 33.615, 34.756, 1.141, 8192, 0, 34.756, 35.884, 1.128, 800, 35.884, 36.146, 0.262, 4096, 0,     9.146,
 28, 14, 28, 28, 29.142, 1.142, 11264, 0, 29.142, 32.751, 3.609, 568, 32.751, 33.741, 0.99, 17408, 0, 33.741, 34.782, 1.041, 1360, 34.782, 35.677, 0.895, 8192, 0, 35.677, 36.84, 1.163, 800, 36.84, 37.105, 0.266, 4096, 0,     9.105,
 29, 14, 29, 29, 29.997, 0.997, 9216, 0, 29.997, 33.751, 3.754, 473, 33.751, 34.571, 0.819, 14336, 0, 34.571, 35.649, 1.079, 1120, 35.649, 36.431, 0.782, 7168, 0, 36.431, 37.705, 1.274, 700, 37.705, 37.878, 0.173, 3072, 0,     8.878,
 30, 14, 30, 30, 30.97, 0.97, 11264, 0, 30.97, 34.888, 3.918, 569, 34.888, 36.024, 1.136, 17408, 0, 36.024, 37.08, 1.056, 1360, 37.08, 37.98, 0.9, 8192, 0, 37.98, 39.09, 1.11, 800, 39.09, 39.329, 0.239, 4096, 0,     9.329,
 31, 14, 31, 31, 31.714, 0.714, 8192, 0, 31.714, 35.743, 4.029, 448, 35.743, 36.99, 1.248, 13312, 0, 36.99, 37.994, 1.003, 1040, 37.994, 38.782, 0.788, 6144, 0, 38.782, 39.956, 1.174, 600, 39.956, 40.142, 0.185, 3072, 0,     9.142,
 32, 14, 32, 32, 33.096, 1.096, 11264, 0, 33.096, 36.751, 3.656, 552, 36.751, 37.906, 1.155, 16384, 0, 37.906, 39.157, 1.251, 1280, 39.157, 40.053, 0.896, 8192, 0, 40.053, 41.182, 1.129, 800, 41.182, 41.451, 0.269, 4096, 0,     9.451,
 33, 14, 33, 33, 34.27, 1.27, 12288, 0, 34.27, 37.974, 3.703, 607, 37.974, 39.009, 1.036, 18432, 0, 39.009, 40.211, 1.202, 1440, 40.211, 41.185, 0.974, 9216, 0, 41.185, 42.297, 1.112, 900, 42.297, 42.58, 0.284, 5120, 0,     9.580,
 34, 14, 34, 34, 35.353, 1.353, 12288, 0, 35.353, 39.326, 3.973, 648, 39.326, 40.405, 1.079, 19456, 0, 40.405, 41.652, 1.246, 1520, 41.652, 42.675, 1.023, 9216, 0, 42.675, 43.968, 1.293, 900, 43.968, 44.288, 0.32, 5120, 0,    10.288,
 35, 14, 35, 35, 36.396, 1.396, 11264, 0, 36.396, 40.4, 4.005, 550, 40.4, 41.421, 1.021, 16384, 0, 41.421, 42.732, 1.311, 1280, 42.732, 43.784, 1.052, 8192, 0, 43.784, 45.025, 1.24, 800, 45.025, 45.262, 0.237, 4096, 0,    10.262,
 36, 14, 36, 36, 37.515, 1.515, 12288, 0, 37.515, 41.582, 4.067, 601, 41.582, 42.781, 1.198, 18432, 0, 42.781, 44.004, 1.224, 1440, 44.004, 44.96, 0.956, 9216, 0, 44.96, 46.253, 1.293, 900, 46.253, 46.581, 0.328, 5120, 0,    10.581,
 37, 14, 37, 37, 38.385, 1.385, 10240, 0, 38.385, 42.601, 4.216, 503, 42.601, 43.656, 1.055, 15360, 0, 43.656, 44.954, 1.298, 1200, 44.954, 45.737, 0.783, 7168, 0, 45.737, 47.112, 1.376, 700, 47.112, 47.298, 0.186, 3072, 0,    10.298,
 38, 14, 38, 38, 39.332, 1.332, 11264, 0, 39.332, 43.815, 4.483, 565, 43.815, 44.788, 0.973, 16384, 0, 44.788, 46.023, 1.235, 1280, 46.023, 47.087, 1.063, 8192, 0, 47.087, 48.078, 0.991, 800, 48.078, 48.329, 0.252, 4096, 0,    10.329,
 39, 14, 39, 39, 40.158, 1.158, 9216, 0, 40.158, 44.713, 4.555, 468, 44.713, 45.677, 0.965, 14336, 0, 45.677, 47.067, 1.39, 1120, 47.067, 47.909, 0.842, 7168, 0, 47.909, 48.921, 1.013, 700, 48.921, 49.095, 0.174, 3072, 0,    10.095,
 40, 14, 40, 40, 41.399, 1.399, 12288, 0, 41.399, 45.869, 4.47, 643, 45.869, 46.933, 1.064, 19456, 0, 46.933, 48.323, 1.39, 1520, 48.323, 49.355, 1.031, 9216, 0, 49.355, 50.554, 1.2, 900, 50.554, 50.899, 0.344, 5120, 0,    10.899,
 41, 14, 41, 41, 42.299, 1.299, 9216, 0, 42.299, 46.757, 4.459, 451, 46.757, 47.696, 0.938, 13312, 0, 47.696, 49.089, 1.393, 1040, 49.089, 50.044, 0.955, 6144, 0, 50.044, 51.35, 1.306, 600, 51.35, 51.532, 0.182, 3072, 0,    10.532,
 42, 14, 42, 42, 43.408, 1.408, 10240, 0, 43.408, 47.895, 4.487, 539, 47.895, 48.81, 0.915, 16384, 0, 48.81, 50.082, 1.272, 1280, 50.082, 51.137, 1.055, 8192, 0, 51.137, 52.314, 1.178, 800, 52.314, 52.566, 0.251, 4096, 0,    10.566,
 43, 14, 43, 43, 44.387, 1.387, 10240, 0, 44.387, 48.945, 4.557, 516, 48.945, 49.857, 0.913, 15360, 0, 49.857, 51.081, 1.224, 1200, 51.081, 51.877, 0.796, 7168, 0, 51.877, 53.149, 1.271, 700, 53.149, 53.352, 0.203, 3072, 0,    10.352,
 44, 14, 44, 44, 45.669, 1.669, 13312, 0, 45.669, 50.23, 4.561, 658, 50.23, 51.31, 1.08, 19456, 0, 51.31, 52.581, 1.271, 1520, 52.581, 53.663, 1.082, 9216, 0, 53.663, 54.907, 1.244, 900, 54.907, 55.225, 0.318, 5120, 0,    11.225,
 45, 14, 45, 45, 46.86, 1.86, 11264, 0, 46.86, 51.192, 4.333, 550, 51.192, 52.267, 1.075, 16384, 0, 52.267, 53.548, 1.281, 1280, 53.548, 54.554, 1.006, 8192, 0, 54.554, 55.88, 1.326, 800, 55.88, 56.135, 0.255, 4096, 0,    11.135,
 46, 14, 46, 46, 47.948, 1.948, 11264, 0, 47.948, 52.363, 4.415, 589, 52.363, 53.344, 0.982, 17408, 0, 53.344, 54.581, 1.236, 1360, 54.581, 55.597, 1.016, 8192, 0, 55.597, 56.921, 1.324, 800, 56.921, 57.167, 0.246, 4096, 0,    11.167,
 47, 14, 47, 47, 49.069, 2.069, 11264, 0, 49.069, 53.428, 4.359, 579, 53.428, 54.441, 1.014, 17408, 0, 54.441, 55.591, 1.149, 1360, 55.591, 56.492, 0.901, 8192, 0, 56.492, 57.99, 1.498, 800, 57.99, 58.243, 0.253, 4096, 0,    11.243,
 48, 14, 48, 48, 50.242, 2.242, 12288, 0, 50.242, 54.742, 4.499, 644, 54.742, 55.989, 1.247, 19456, 0, 55.989, 57.278, 1.289, 1520, 57.278, 58.448, 1.17, 9216, 0, 58.448, 59.594, 1.146, 900, 59.594, 59.884, 0.29, 5120, 0,    11.884,
 49, 14, 49, 49, 51.413, 2.413, 12288, 0, 51.413, 55.963, 4.55, 645, 55.963, 57.055, 1.092, 19456, 0, 57.055, 58.543, 1.488, 1520, 58.543, 59.594, 1.051, 9216, 0, 59.594, 60.674, 1.08, 900, 60.674, 60.993, 0.319, 5120, 0,    11.993,
