Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 9, 0, 0, 0.805, 0.805, 11264, 0, 0.805, 1.629, 0.824, 578, 1.629, 2.422, 0.793, 17408, 0, 2.422, 3.232, 0.81, 1360, 3.232, 3.985, 0.754, 8192, 0, 3.985, 4.745, 0.76, 1200, 4.745, 5.387, 0.642, 5120, 0, 5.387, 6.118, 0.731, 1000, 6.118, 6.462, 0.343, 4096, 0,     6.462,
 1, 9, 1, 1, 2.097, 1.097, 15360, 0, 2.097, 3.181, 1.084, 759, 3.181, 4.213, 1.032, 22528, 0, 4.213, 5.26, 1.047, 1760, 5.26, 6.295, 1.035, 11264, 0, 6.295, 7.343, 1.049, 1650, 7.343, 8.241, 0.898, 7168, 0, 8.241, 9.242, 1, 1400, 9.242, 9.673, 0.431, 5120, 0,     8.673,
 2, 9, 2, 2, 3.048, 1.048, 13312, 0, 3.048, 4.177, 1.129, 690, 4.177, 5.144, 0.966, 20480, 0, 5.144, 6.212, 1.068, 1600, 6.212, 7.226, 1.014, 10240, 0, 7.226, 8.31, 1.085, 1500, 8.31, 9.089, 0.779, 6144, 0, 9.089, 10.109, 1.02, 1200, 10.109, 10.539, 0.43, 5120, 0,     8.539,
 3, 9, 3, 3, 3.928, 0.928, 12288, 0, 3.928, 5.103, 1.175, 649, 5.103, 6.036, 0.933, 19456, 0, 6.036, 7.126, 1.09, 1520, 7.126, 8.063, 0.937, 9216, 0, 8.063, 9.175, 1.112, 1350, 9.175, 9.945, 0.77, 6144, 0, 9.945, 10.966, 1.02, 1200, 10.966, 11.394, 0.429, 5120, 0,     8.394,
 4, 9, 4, 4, 4.878, 0.878, 12288, 0, 4.878, 5.968, 1.09, 606, 5.968, 6.879, 0.911, 18432, 0, 6.879, 7.997, 1.119, 1440, 7.997, 8.901, 0.904, 9216, 0, 8.901, 10.04, 1.139, 1350, 10.04, 10.81, 0.77, 6144, 0, 10.81, 11.831, 1.021, 1200, 11.831, 12.26, 0.429, 5120, 0,     8.260,
 5, 9, 5, 5, 6.102, 1.102, 15360, 0, 6.102, 7.177, 1.074, 753, 7.177, 8.206, 1.029, 22528, 0, 8.206, 9.251, 1.045, 1760, 9.251, 10.288, 1.037, 11264, 0, 10.288, 11.338, 1.05, 1650, 11.338, 12.236, 0.898, 7168, 0, 12.236, 13.254, 1.018, 1400, 13.254, 13.682, 0.429, 5120, 0,     8.682,
 6, 9, 6, 6, 7.136, 1.136, 14336, 0, 7.136, 8.232, 1.096, 732, 8.232, 9.216, 0.984, 21504, 0, 9.216, 10.25, 1.034, 1680, 10.25, 11.219, 0.969, 10240, 0, 11.219, 12.296, 1.077, 1500, 12.296, 13.066, 0.77, 6144, 0, 13.066, 14.111, 1.044, 1200, 14.111, 14.539, 0.429, 5120, 0,     8.539,
 7, 9, 7, 7, 7.944, 0.944, 11264, 0, 7.944, 9.057, 1.113, 578, 9.057, 10.007, 0.95, 17408, 0, 10.007, 11.078, 1.071, 1360, 11.078, 11.964, 0.885, 8192, 0, 11.964, 13.058, 1.094, 1200, 13.058, 13.714, 0.656, 5120, 0, 13.714, 14.824, 1.11, 1000, 14.824, 15.169, 0.345, 4096, 0,     8.169,
 8, 9, 8, 8, 8.951, 0.951, 13312, 0, 8.951, 10.011, 1.06, 668, 10.011, 10.944, 0.933, 20480, 0, 10.944, 12.038, 1.094, 1600, 12.038, 12.976, 0.938, 10240, 0, 12.976, 14.027, 1.051, 1500, 14.027, 14.796, 0.77, 6144, 0, 14.796, 15.681, 0.884, 1200, 15.681, 16.109, 0.429, 5120, 0,     8.109,
 9, 9, 9, 9, 10.026, 1.026, 14336, 0, 10.026, 11.047, 1.021, 706, 11.047, 12.028, 0.981, 21504, 0, 12.028, 13.042, 1.014, 1680, 13.042, 13.979, 0.937, 10240, 0, 13.979, 14.979, 1, 1500, 14.979, 15.757, 0.778, 6144, 0, 15.757, 16.622, 0.865, 1200, 16.622, 17.055, 0.433, 5120, 0,     8.055,
 10, 9, 10, 10, 11.058, 1.058, 14336, 0, 11.058, 12.068, 1.009, 707, 12.068, 13.052, 0.985, 21504, 0, 13.052, 14.052, 1, 1680, 14.052, 14.989, 0.937, 10240, 0, 14.989, 15.945, 0.956, 1500, 15.945, 16.715, 0.77, 6144, 0, 16.715, 17.572, 0.857, 1200, 17.572, 18.001, 0.429, 5120, 0,     8.001,
 11, 9, 11, 11, 12.009, 1.009, 13312, 0, 12.009, 13.026, 1.017, 671, 13.026, 13.985, 0.96, 20480, 0, 13.985, 15.02, 1.035, 1600, 15.02, 15.957, 0.937, 10240, 0, 15.957, 16.909, 0.952, 1500, 16.909, 17.688, 0.779, 6144, 0, 17.688, 18.552, 0.864, 1200, 18.552, 18.984, 0.432, 5120, 0,     7.984,
 12, 9, 12, 12, 12.96, 0.96, 13312, 0, 12.96, 14.023, 1.063, 699, 14.023, 14.958, 0.935, 20480, 0, 14.958, 15.99, 1.032, 1600, 15.99, 16.927, 0.937, 10240, 0, 16.927, 17.879, 0.952, 1500, 17.879, 18.649, 0.77, 6144, 0, 18.649, 19.505, 0.856, 1200, 19.505, 19.935, 0.429, 5120, 0,     7.935,
