Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 356, 0, 0, 1.04, 1.04, 15360, 0, 1.04, 3.163, 2.123, 1593, 3.163, 4.125, 0.962, 15360, 0,     4.125,
 1, 356, 1, 1, 1.927, 0.927, 13312, 0, 1.927, 3.744, 1.817, 1363, 3.744, 4.957, 1.213, 13312, 0,     3.957,
 2, 356, 2, 2, 2.962, 0.962, 14336, 0, 2.962, 5.106, 2.144, 1458, 5.106, 6.004, 0.898, 14336, 0,     4.004,
 3, 356, 3, 3, 4.175, 1.175, 17408, 0, 4.175, 6.52, 2.346, 1760, 6.52, 7.61, 1.09, 17408, 0,     4.610,
 4, 356, 4, 4, 5.135, 1.135, 14336, 0, 5.135, 7.022, 1.886, 1412, 7.022, 8.506, 1.485, 14336, 0,     4.506,
 5, 356, 5, 5, 6.169, 1.169, 15360, 0, 6.169, 8.554, 2.385, 1524, 8.554, 9.516, 0.962, 15360, 0,     4.516,
 6, 356, 6, 6, 7.337, 1.337, 17408, 0, 7.337, 9.658, 2.321, 1740, 9.658, 10.749, 1.09, 17408, 0,     4.749,
 7, 356, 7, 7, 8.298, 1.298, 14336, 0, 8.298, 10.466, 2.168, 1430, 10.466, 11.645, 1.178, 14336, 0,     4.645,
 8, 356, 8, 8, 9.458, 1.458, 17408, 0, 9.458, 12.064, 2.605, 1796, 12.064, 13.155, 1.091, 17408, 0,     5.155,
 9, 356, 9, 9, 10.619, 1.619, 17408, 0, 10.619, 12.987, 2.368, 1771, 12.987, 14.243, 1.256, 17408, 0,     5.243,
 10, 356, 10, 10, 11.643, 1.643, 15360, 0, 11.643, 14.176, 2.533, 1584, 14.176, 15.207, 1.031, 15360, 0,     5.207,
 11, 356, 11, 11, 12.472, 1.472, 12288, 0, 12.472, 14.629, 2.157, 1232, 14.629, 15.975, 1.346, 12288, 0,     4.975,
 12, 356, 12, 12, 13.564, 1.564, 16384, 0, 13.564, 16.414, 2.85, 1679, 16.414, 17.44, 1.026, 16384, 0,     5.440,
 13, 356, 13, 13, 14.527, 1.527, 14336, 0, 14.527, 16.635, 2.108, 1499, 16.635, 18.343, 1.708, 14336, 0,     5.343,
