Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 40, 63, 40, 40, 40.887, 0.887, 11264, 0, 40.887, 43.23, 2.342, 1161, 43.23, 44.339, 1.109, 11264, 0,     4.339,
 41, 63, 41, 41, 41.811, 0.811, 11264, 0, 41.811, 44.13, 2.319, 1158, 44.13, 45.09, 0.96, 11264, 0,     4.090,
 42, 63, 42, 42, 42.957, 0.957, 13312, 0, 42.957, 45.136, 2.179, 1334, 45.136, 46.029, 0.893, 13312, 0,     4.029,
 43, 63, 43, 43, 44.03, 1.03, 14336, 0, 44.03, 46.206, 2.176, 1449, 46.206, 47.164, 0.958, 14336, 0,     4.164,
 44, 63, 44, 44, 45.2, 1.2, 16384, 0, 45.2, 47.507, 2.307, 1606, 47.507, 48.601, 1.094, 16384, 0,     4.601,
 45, 63, 45, 45, 46.226, 1.226, 14336, 0, 46.226, 48.329, 2.103, 1473, 48.329, 49.557, 1.228, 14336, 0,     4.557,
 46, 63, 46, 46, 47.04, 1.04, 11264, 0, 47.04, 49.136, 2.096, 1134, 49.136, 50.308, 1.172, 11264, 0,     4.308,
 47, 63, 47, 47, 47.845, 0.845, 11264, 0, 47.845, 49.957, 2.113, 1138, 49.957, 51.058, 1.101, 11264, 0,     4.058,
 48, 63, 48, 48, 48.811, 0.811, 11264, 0, 48.811, 50.776, 1.966, 1142, 50.776, 51.81, 1.033, 11264, 0,     3.810,
 49, 63, 49, 49, 50.04, 1.04, 14336, 0, 50.04, 52.139, 2.099, 1471, 52.139, 53.097, 0.958, 14336, 0,     4.097,
 50, 63, 50, 50, 50.922, 0.922, 12288, 0, 50.922, 52.635, 1.713, 1202, 52.635, 53.916, 1.28, 12288, 0,     3.916,
 51, 63, 51, 51, 52.103, 1.103, 15360, 0, 52.103, 54.368, 2.264, 1554, 54.368, 55.394, 1.026, 15360, 0,     4.394,
 52, 63, 52, 52, 53.274, 1.274, 16384, 0, 53.274, 55.587, 2.313, 1620, 55.587, 56.684, 1.098, 16384, 0,     4.684,
 53, 63, 53, 53, 54.152, 1.152, 12288, 0, 54.152, 56.136, 1.985, 1235, 56.136, 57.504, 1.368, 12288, 0,     4.504,
 54, 63, 54, 54, 55.249, 1.249, 15360, 0, 55.249, 57.76, 2.511, 1522, 57.76, 58.788, 1.028, 15360, 0,     4.788,
 55, 63, 55, 55, 56.126, 1.126, 12288, 0, 56.126, 57.861, 1.735, 1208, 57.861, 59.614, 1.753, 12288, 0,     4.614,
 56, 63, 56, 56, 57.078, 1.078, 13312, 0, 57.078, 59.738, 2.66, 1375, 59.738, 60.627, 0.89, 13312, 0,     4.627,
 57, 63, 57, 57, 58.176, 1.176, 15360, 0, 58.176, 60.357, 2.181, 1533, 60.357, 61.651, 1.294, 15360, 0,     4.651,
 58, 63, 58, 58, 59.063, 1.063, 12288, 0, 59.063, 61.483, 2.419, 1222, 61.483, 62.477, 0.994, 12288, 0,     4.477,
 59, 63, 59, 59, 59.869, 0.869, 11264, 0, 59.869, 61.967, 2.098, 1126, 61.967, 63.23, 1.263, 11264, 0,     4.230,
 60, 63, 60, 60, 60.81, 0.81, 11264, 0, 60.81, 63.177, 2.367, 1179, 63.177, 63.986, 0.809, 11264, 0,     3.986,
 61, 63, 61, 61, 61.957, 0.957, 13312, 0, 61.957, 63.859, 1.902, 1325, 63.859, 64.875, 1.016, 13312, 0,     3.875,
 62, 63, 62, 62, 62.884, 0.884, 12288, 0, 62.884, 64.95, 2.067, 1234, 64.95, 65.775, 0.824, 12288, 0,     3.775,
 63, 63, 63, 63, 64.186, 1.186, 16384, 0, 64.186, 66.51, 2.324, 1624, 66.51, 67.604, 1.094, 16384, 0,     4.604,
 64, 63, 64, 64, 64.999, 0.999, 11264, 0, 64.999, 66.695, 1.697, 1188, 66.695, 68.358, 1.663, 11264, 0,     4.358,
 65, 63, 65, 65, 65.965, 0.965, 13312, 0, 65.965, 68.397, 2.432, 1315, 68.397, 69.286, 0.889, 13312, 0,     4.286,
 66, 63, 66, 66, 67.04, 1.04, 14336, 0, 67.04, 69.161, 2.121, 1485, 69.161, 70.242, 1.081, 14336, 0,     4.242,
 67, 63, 67, 67, 67.917, 0.917, 12288, 0, 67.917, 70.193, 2.276, 1258, 70.193, 71.061, 0.868, 12288, 0,     4.061,
 68, 63, 68, 68, 69.03, 1.03, 14336, 0, 69.03, 71.173, 2.143, 1403, 71.173, 72.131, 0.958, 14336, 0,     4.131,
 69, 63, 69, 69, 69.908, 0.908, 12288, 0, 69.908, 71.951, 2.044, 1228, 71.951, 72.95, 0.999, 12288, 0,     3.950,
 70, 63, 70, 70, 71.103, 1.103, 15360, 0, 71.103, 73.394, 2.29, 1548, 73.394, 74.427, 1.034, 15360, 0,     4.427,
 71, 63, 71, 71, 72.135, 1.135, 14336, 0, 72.135, 74.168, 2.033, 1424, 74.168, 75.383, 1.215, 14336, 0,     4.383,
 72, 63, 72, 72, 73.234, 1.234, 15360, 0, 73.234, 75.554, 2.32, 1512, 75.554, 76.584, 1.03, 15360, 0,     4.584,
 73, 63, 73, 73, 74.118, 1.118, 12288, 0, 74.118, 75.988, 1.87, 1274, 75.988, 77.411, 1.423, 12288, 0,     4.411,
 74, 63, 74, 74, 75.142, 1.142, 14336, 0, 75.142, 77.623, 2.481, 1449, 77.623, 78.59, 0.967, 14336, 0,     4.590,
