event_arrival_time,HostName,failure_time,recovery_time
0.0,DC1-HRG1-1,23.53939585182166,26.084644650439984
0.0,DC1-HRG1-2,74.27195066447214,76.41294085222543
0.0,DC1-HRG1-2,82.2716374008108,84.93864682845005
0.0,DC2-HRG5-1,127.35204811416594,129.154527068885
0.0,DC1-HRG1-1,131.33621290860646,133.97297072118897
0.0,DC2-HRG5-1,150.1558794584452,151.73268480025502
0.0,DC2-HRG5-1,274.97951652756603,276.5712326013932
0.0,DC2-HRG5-2,278.9497109544461,281.7183783114305
0.0,DC2-HRG5-2,308.28434788772194,311.14888351534887
0.0,DC2-HRG5-1,365.6650281550368,367.40070409422015
0.0,DC1-HRG1-2,372.50935638664896,375.26358598224266
0.0,DC2-HRG5-2,474.2595098755745,476.47372727900853
0.0,DC1-HRG1-1,512.5945366824608,515.6726066180885
0.0,DC2-HRG5-1,517.1079857296836,519.085779436177
0.0,DC1-HRG1-2,533.1360598371118,535.6411436132208
0.0,DC2-HRG5-1,547.2579888915305,548.9659997161709
0.0,DC2-HRG5-2,547.8954066766996,550.606446311822
0.0,DC2-HRG5-2,568.5409447272021,571.2357177874254
0.0,DC2-HRG5-2,584.3989684947234,586.7692594628405
0.0,DC2-HRG5-2,608.224883916727,611.0233377261372
0.0,DC2-HRG5-1,692.5826199660864,694.353956461101
0.0,DC1-HRG1-2,749.0370082761584,751.1059840351793
0.0,DC2-HRG5-1,798.6865608015837,800.6130772083222
0.0,DC2-HRG5-2,856.0122281739905,858.3753538579031
0.0,DC2-HRG5-1,935.6079524924216,937.2282002533362
0.0,DC2-HRG5-1,990.2235515662267,991.9258329988302
0.0,DC2-HRG5-2,1048.3821608999776,1051.3416833283306
