DC2-HRG5-3,4.0,0.0018995
DC2-HRG5-10,4.0,3.536E-4
DC2-HRG5-9,4.0,3.66E-5
DC2-HRG5-2,4.0,7.707E-4
DC2-HRG5-1,4.0,0.0214437
Switch: DC2-HRG4-core1,4.0,1.415577724483974E-14
DC2-HRG5-4,4.0,0.0012867
DC2-HRG5-5,4.0,0.0015269
DC2-HRG5-7,4.0,0.0016824
DC2-HRG5-8,4.0,4.562E-4
DC2-HRG5-6,4.0,0.0
DC1-HRG1-8,4.0,0.0
DC1-HRG3-5,4.0,0.0
DC1-HRG2-2,4.0,0.0
DC1-HRG3-8,4.0,0.0
DC1-HRG3-3,4.0,0.0
DC1-HRG3-1,4.0,0.0
DC1-HRG2-8,4.0,0.0
DC1-HRG1-9,4.0,9.673E-4
DC1-HRG1-10,4.0,0.0017009
DC1-HRG3-2,4.0,0.0
DC1-HRG2-9,4.0,0.0
DC1-HRG2-3,4.0,0.0
DC1-HRG3-7,4.0,0.0
DC1-HRG3-6,4.0,0.0
DC1-HRG2-4,4.0,0.0
DC1-HRG2-6,4.0,0.0
DC1-HRG1-4,4.0,3.842E-4
DC1-HRG3-10,4.0,0.0
DC1-HRG3-4,4.0,0.0
DC1-HRG1-5,4.0,0.0033784
DC1-HRG1-1,4.0,0.0024709
Switch: DC1-HRG1-core1,4.0,0.0
DC1-HRG2-10,4.0,0.0
DC1-HRG2-5,4.0,0.0
DC1-HRG1-7,4.0,0.0013513
DC1-HRG1-3,4.0,0.0021011
Switch: DC1-HRG2-core2,4.0,0.0
DC1-HRG2-7,4.0,0.0
Switch: DC1-HRG3-core3,4.0,0.0
DC1-HRG1-2,4.0,6.526E-4
DC1-HRG2-1,4.0,0.0
DC1-HRG3-9,4.0,0.0
DC1-HRG1-6,4.0,0.0020518
Switch: DC1-gateway,4.0,0.0
Switch: DC2-gateway,4.0,1.415577724483974E-14
DC2-HRG5-3,5.0,0.0024869
DC2-HRG5-10,5.0,4.656E-4
DC2-HRG5-9,5.0,8.889E-4
DC2-HRG5-2,5.0,7.844E-4
DC2-HRG5-1,5.0,0.0224413
Switch: DC2-HRG4-core1,5.0,1.7366967239307307E-14
DC2-HRG5-4,5.0,0.0024411
DC2-HRG5-5,5.0,0.0014007
DC2-HRG5-7,5.0,0.0019567
DC2-HRG5-8,5.0,7.637E-4
DC2-HRG5-6,5.0,7.442E-4
DC1-HRG1-8,5.0,1.095E-4
DC1-HRG3-5,5.0,0.0
DC1-HRG2-2,5.0,0.0
DC1-HRG3-8,5.0,0.0
DC1-HRG3-3,5.0,0.0
DC1-HRG3-1,5.0,0.0
DC1-HRG2-8,5.0,0.0
DC1-HRG1-9,5.0,0.0016947
DC1-HRG1-10,5.0,0.0024064
DC1-HRG3-2,5.0,0.0
DC1-HRG2-9,5.0,0.0
DC1-HRG2-3,5.0,0.0
DC1-HRG3-7,5.0,0.0
DC1-HRG3-6,5.0,0.0
DC1-HRG2-4,5.0,0.0
DC1-HRG2-6,5.0,0.0
DC1-HRG1-4,5.0,9.47E-4
DC1-HRG3-10,5.0,0.0
DC1-HRG3-4,5.0,0.0
DC1-HRG1-5,5.0,0.0039533
DC1-HRG1-1,5.0,0.0029471
Switch: DC1-HRG1-core1,5.0,0.0
DC1-HRG2-10,5.0,0.0
DC1-HRG2-5,5.0,0.0
DC1-HRG1-7,5.0,0.0016218
DC1-HRG1-3,5.0,0.0012823
Switch: DC1-HRG2-core2,5.0,0.0
DC1-HRG2-7,5.0,0.0
Switch: DC1-HRG3-core3,5.0,0.0
DC1-HRG1-2,5.0,0.0012118
DC1-HRG2-1,5.0,0.0
DC1-HRG3-9,5.0,0.0
DC1-HRG1-6,5.0,0.0012394
Switch: DC1-gateway,5.0,0.0
Switch: DC2-gateway,5.0,1.7366967239307307E-14
DC2-HRG5-3,6.0,0.0022091
DC2-HRG5-10,6.0,6.784E-4
DC2-HRG5-9,6.0,2.065E-4
DC2-HRG5-2,6.0,6.933E-4
DC2-HRG5-1,6.0,0.0217661
Switch: DC2-HRG4-core1,6.0,1.696440297266344E-14
DC2-HRG5-4,6.0,0.0024428
DC2-HRG5-5,6.0,0.0023619
DC2-HRG5-7,6.0,0.0023752
DC2-HRG5-8,6.0,4.276E-4
DC2-HRG5-6,6.0,7.956E-4
DC1-HRG1-8,6.0,1.024E-4
DC1-HRG3-5,6.0,0.0
DC1-HRG2-2,6.0,0.0
DC1-HRG3-8,6.0,0.0
DC1-HRG3-3,6.0,0.0
DC1-HRG3-1,6.0,0.0
DC1-HRG2-8,6.0,0.0
DC1-HRG1-9,6.0,0.0020828
DC1-HRG1-10,6.0,0.0016506
DC1-HRG3-2,6.0,0.0
DC1-HRG2-9,6.0,0.0
DC1-HRG2-3,6.0,0.0
DC1-HRG3-7,6.0,0.0
DC1-HRG3-6,6.0,0.0
DC1-HRG2-4,6.0,0.0
DC1-HRG2-6,6.0,0.0
DC1-HRG1-4,6.0,0.0012352
DC1-HRG3-10,6.0,0.0
DC1-HRG3-4,6.0,0.0
DC1-HRG1-5,6.0,0.0064219
DC1-HRG1-1,6.0,0.0040074
Switch: DC1-HRG1-core1,6.0,0.0
DC1-HRG2-10,6.0,0.0
DC1-HRG2-5,6.0,0.0
DC1-HRG1-7,6.0,0.0019917
DC1-HRG1-3,6.0,0.0021614
Switch: DC1-HRG2-core2,6.0,0.0
DC1-HRG2-7,6.0,0.0
Switch: DC1-HRG3-core3,6.0,0.0
DC1-HRG1-2,6.0,0.0023759
DC1-HRG2-1,6.0,0.0
DC1-HRG3-9,6.0,0.0
