Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 18, 1129, 18, 18, 18.958, 0.958, 8192, 0, 18.958, 21.203, 2.245, 880, 21.203, 22.513, 1.31, 8192, 0, 22.513, 24.119, 1.606, 1200, 24.119, 25.773, 1.654, 6144, 0, 25.773, 27.368, 1.595, 900, 27.368, 28.811, 1.444, 8192, 0,    10.811,
 19, 1129, 19, 19, 19.825, 0.825, 8192, 0, 19.825, 22.395, 2.57, 825, 22.395, 23.261, 0.866, 8192, 0, 23.261, 25.576, 2.315, 1200, 25.576, 26.542, 0.966, 6144, 0, 26.542, 28.751, 2.209, 900, 28.751, 29.556, 0.805, 8192, 0,    10.556,
 20, 1129, 20, 20, 21.04, 1.04, 10240, 0, 21.04, 23.218, 2.178, 1005, 23.218, 24.192, 0.974, 10240, 0, 24.192, 26.191, 1.999, 1500, 26.191, 27.438, 1.248, 7168, 0, 27.438, 29.313, 1.875, 1050, 29.313, 30.403, 1.09, 9216, 0,    10.403,
 21, 1129, 21, 21, 21.961, 0.961, 9216, 0, 21.961, 24.345, 2.384, 972, 24.345, 25.187, 0.841, 9216, 0, 25.187, 27.378, 2.191, 1350, 27.378, 28.215, 0.837, 6144, 0, 28.215, 30.354, 2.14, 900, 30.354, 31.15, 0.795, 8192, 0,    10.150,
 22, 1129, 22, 22, 23.138, 1.138, 11264, 0, 23.138, 25.506, 2.368, 1144, 25.506, 26.532, 1.026, 11264, 0, 26.532, 28.731, 2.199, 1650, 28.731, 29.757, 1.026, 8192, 0, 29.757, 31.895, 2.138, 1200, 31.895, 32.828, 0.933, 10240, 0,    10.828,
 23, 1129, 23, 23, 23.967, 0.967, 8192, 0, 23.967, 25.954, 1.987, 805, 25.954, 27.281, 1.327, 8192, 0, 27.281, 28.979, 1.698, 1200, 28.979, 30.526, 1.547, 6144, 0, 30.526, 32.131, 1.605, 900, 32.131, 33.578, 1.447, 8192, 0,    10.578,
 24, 1129, 24, 24, 24.927, 0.927, 9216, 0, 24.927, 27.455, 2.527, 970, 27.455, 28.296, 0.842, 9216, 0, 28.296, 30.536, 2.24, 1350, 30.536, 31.312, 0.776, 6144, 0, 31.312, 33.495, 2.183, 900, 33.495, 34.323, 0.827, 8192, 0,    10.323,
 25, 1129, 25, 25, 25.936, 0.936, 9216, 0, 25.936, 27.811, 1.875, 921, 27.811, 29.134, 1.323, 9216, 0, 29.134, 30.945, 1.811, 1350, 30.945, 32.083, 1.138, 6144, 0, 32.083, 33.75, 1.667, 900, 33.75, 35.07, 1.32, 8192, 0,    10.070,
 26, 1129, 26, 26, 27.039, 1.039, 10240, 0, 27.039, 29.56, 2.521, 1053, 29.56, 30.496, 0.936, 10240, 0, 30.496, 32.541, 2.045, 1500, 32.541, 33.448, 0.907, 7168, 0, 33.448, 35.364, 1.916, 1050, 35.364, 36.213, 0.849, 9216, 0,    10.213,
 27, 1129, 27, 27, 28.17, 1.17, 11264, 0, 28.17, 30.566, 2.396, 1198, 30.566, 31.595, 1.029, 11264, 0, 31.595, 33.804, 2.209, 1650, 33.804, 34.832, 1.027, 8192, 0, 34.832, 36.975, 2.143, 1200, 36.975, 37.908, 0.934, 10240, 0,    10.908,
