Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 25, 3, 25, 25, 25.945, 0.945, 17408, 0, 25.945, 26.946, 1.001, 880, 26.946, 27.883, 0.937, 26624, 0, 27.883, 28.879, 0.997, 3900, 28.879, 29.896, 1.016, 17408, 0,     4.896,
 26, 3, 26, 26, 26.87, 0.87, 13312, 0, 26.87, 27.737, 0.867, 693, 27.737, 28.66, 0.923, 20480, 0, 28.66, 29.652, 0.991, 3000, 29.652, 30.615, 0.964, 13312, 0,     4.615,
 27, 3, 27, 27, 27.762, 0.762, 14336, 0, 27.762, 28.58, 0.817, 724, 28.58, 29.485, 0.906, 21504, 0, 29.485, 30.467, 0.981, 3150, 30.467, 31.326, 0.859, 14336, 0,     4.326,
 28, 3, 28, 28, 28.894, 0.894, 15360, 0, 28.894, 29.746, 0.852, 753, 29.746, 30.534, 0.789, 22528, 0, 30.534, 31.317, 0.783, 3300, 31.317, 32.011, 0.694, 14336, 0,     4.011,
 29, 3, 29, 29, 29.976, 0.976, 16384, 0, 29.976, 30.875, 0.899, 812, 30.875, 31.744, 0.869, 24576, 0, 31.744, 32.686, 0.942, 3600, 32.686, 33.556, 0.87, 16384, 0,     4.556,
 30, 3, 30, 30, 30.983, 0.983, 16384, 0, 30.983, 31.905, 0.922, 830, 31.905, 32.926, 1.022, 24576, 0, 32.926, 33.815, 0.889, 3600, 33.815, 34.652, 0.837, 16384, 0,     4.652,
 31, 3, 31, 31, 31.832, 0.832, 13312, 0, 31.832, 32.629, 0.797, 658, 32.629, 33.62, 0.991, 19456, 0, 33.62, 34.516, 0.896, 2850, 34.516, 35.302, 0.786, 12288, 0,     4.302,
 32, 3, 32, 32, 32.977, 0.977, 16384, 0, 32.977, 33.863, 0.886, 804, 33.863, 34.742, 0.88, 24576, 0, 34.742, 35.719, 0.976, 3600, 35.719, 36.584, 0.865, 16384, 0,     4.584,
 33, 3, 33, 33, 33.874, 0.874, 15360, 0, 33.874, 34.742, 0.868, 787, 34.742, 35.655, 0.912, 23552, 0, 35.655, 36.657, 1.003, 3450, 36.657, 37.47, 0.813, 15360, 0,     4.470,
 34, 3, 34, 34, 34.733, 0.733, 12288, 0, 34.733, 35.415, 0.682, 623, 35.415, 36.298, 0.884, 18432, 0, 36.298, 37.342, 1.044, 2700, 37.342, 38.102, 0.76, 12288, 0,     4.102,
 35, 3, 35, 35, 35.699, 0.699, 12288, 0, 35.699, 36.396, 0.697, 621, 36.396, 37.082, 0.686, 18432, 0, 37.082, 38.034, 0.951, 2700, 38.034, 38.729, 0.696, 12288, 0,     3.729,
 36, 3, 36, 36, 36.714, 0.714, 13312, 0, 36.714, 37.442, 0.728, 660, 37.442, 38.238, 0.795, 19456, 0, 38.238, 38.947, 0.71, 2850, 38.947, 39.603, 0.656, 12288, 0,     3.603,
 37, 3, 37, 37, 37.914, 0.914, 16384, 0, 37.914, 38.891, 0.978, 842, 38.891, 39.787, 0.896, 25600, 0, 39.787, 40.762, 0.975, 3750, 40.762, 41.611, 0.849, 16384, 0,     4.611,
 38, 3, 38, 38, 38.937, 0.937, 17408, 0, 38.937, 39.929, 0.992, 891, 39.929, 40.881, 0.952, 26624, 0, 40.881, 41.847, 0.966, 3900, 41.847, 42.752, 0.904, 17408, 0,     4.752,
 39, 3, 39, 39, 39.818, 0.818, 13312, 0, 39.818, 40.696, 0.877, 668, 40.696, 41.623, 0.928, 20480, 0, 41.623, 42.594, 0.971, 3000, 42.594, 43.454, 0.86, 13312, 0,     4.454,
 40, 3, 40, 40, 41.006, 1.006, 17408, 0, 41.006, 42.054, 1.048, 881, 42.054, 43.042, 0.988, 26624, 0, 43.042, 44.044, 1.002, 3900, 44.044, 44.966, 0.922, 17408, 0,     4.966,
 41, 3, 41, 41, 41.979, 0.979, 17408, 0, 41.979, 43.135, 1.157, 890, 43.135, 44.085, 0.95, 26624, 0, 44.085, 45.051, 0.966, 3900, 45.051, 45.995, 0.945, 17408, 0,     4.995,
 42, 3, 42, 42, 42.904, 0.904, 16384, 0, 42.904, 44.108, 1.203, 816, 44.108, 44.981, 0.874, 24576, 0, 44.981, 45.958, 0.977, 3600, 45.958, 46.821, 0.864, 16384, 0,     4.821,
 43, 3, 43, 43, 43.817, 0.817, 14336, 0, 43.817, 44.924, 1.107, 708, 44.924, 45.745, 0.82, 21504, 0, 45.745, 46.749, 1.004, 3150, 46.749, 47.567, 0.818, 14336, 0,     4.567,
 44, 3, 44, 44, 44.894, 0.894, 17408, 0, 44.894, 45.869, 0.975, 852, 45.869, 46.739, 0.87, 25600, 0, 46.739, 47.657, 0.919, 3750, 47.657, 48.476, 0.819, 16384, 0,     4.476,
 45, 3, 45, 45, 45.73, 0.73, 13312, 0, 45.73, 46.613, 0.883, 693, 46.613, 47.499, 0.886, 20480, 0, 47.499, 48.393, 0.894, 3000, 48.393, 49.172, 0.78, 13312, 0,     4.172,
 46, 3, 46, 46, 46.918, 0.918, 16384, 0, 46.918, 47.848, 0.931, 836, 47.848, 48.906, 1.058, 25600, 0, 48.906, 49.858, 0.951, 3750, 49.858, 50.725, 0.867, 16384, 0,     4.725,
 47, 3, 47, 47, 47.868, 0.868, 15360, 0, 47.868, 48.743, 0.874, 783, 48.743, 49.737, 0.994, 23552, 0, 49.737, 50.723, 0.987, 3450, 50.723, 51.551, 0.828, 15360, 0,     4.551,
 48, 3, 48, 48, 49.005, 1.005, 15360, 0, 49.005, 49.858, 0.852, 769, 49.858, 50.745, 0.887, 23552, 0, 50.745, 51.631, 0.886, 3450, 51.631, 52.437, 0.805, 15360, 0,     4.437,
 49, 3, 49, 49, 49.739, 0.739, 12288, 0, 49.739, 50.556, 0.817, 645, 50.556, 51.466, 0.91, 19456, 0, 51.466, 52.303, 0.837, 2850, 52.303, 53.051, 0.747, 12288, 0,     4.051,
 50, 3, 50, 50, 50.865, 0.865, 15360, 0, 50.865, 51.781, 0.916, 798, 51.781, 52.593, 0.812, 23552, 0, 52.593, 53.406, 0.814, 3450, 53.406, 54.258, 0.852, 15360, 0,     4.258,
 51, 3, 51, 51, 51.97, 0.97, 17408, 0, 51.97, 52.959, 0.989, 886, 52.959, 53.956, 0.997, 26624, 0, 53.956, 54.951, 0.996, 3900, 54.951, 55.851, 0.899, 17408, 0,     4.851,
 52, 3, 52, 52, 52.859, 0.859, 16384, 0, 52.859, 53.912, 1.054, 838, 53.912, 54.891, 0.979, 25600, 0, 54.891, 55.851, 0.959, 3750, 55.851, 56.633, 0.782, 16384, 0,     4.633,
 53, 3, 53, 53, 53.725, 0.725, 12288, 0, 53.725, 54.629, 0.904, 635, 54.629, 55.585, 0.956, 19456, 0, 55.585, 56.548, 0.962, 2850, 56.548, 57.239, 0.691, 12288, 0,     4.239,
 54, 3, 54, 54, 54.855, 0.855, 15360, 0, 54.855, 55.685, 0.829, 751, 55.685, 56.474, 0.79, 22528, 0, 56.474, 57.373, 0.899, 3300, 57.373, 58.098, 0.726, 14336, 0,     4.098,
 55, 3, 55, 55, 55.736, 0.736, 13312, 0, 55.736, 56.514, 0.778, 672, 56.514, 57.205, 0.691, 20480, 0, 57.205, 58.132, 0.927, 3000, 58.132, 58.826, 0.694, 13312, 0,     3.826,
 56, 3, 56, 56, 56.807, 0.807, 15360, 0, 56.807, 57.687, 0.88, 761, 57.687, 58.441, 0.754, 22528, 0, 58.441, 59.307, 0.867, 3300, 59.307, 60.025, 0.718, 14336, 0,     4.025,
 57, 3, 57, 57, 57.744, 0.744, 13312, 0, 57.744, 58.471, 0.727, 655, 58.471, 59.257, 0.786, 19456, 0, 59.257, 60.05, 0.793, 2850, 60.05, 60.672, 0.622, 12288, 0,     3.672,
 58, 3, 58, 58, 58.856, 0.856, 16384, 0, 58.856, 59.808, 0.952, 842, 59.808, 60.779, 0.972, 25600, 0, 60.779, 61.751, 0.972, 3750, 61.751, 62.602, 0.85, 16384, 0,     4.602,
 59, 3, 59, 59, 59.844, 0.844, 15360, 0, 59.844, 60.682, 0.838, 762, 60.682, 61.585, 0.903, 22528, 0, 61.585, 62.675, 1.09, 3300, 62.675, 63.453, 0.778, 14336, 0,     4.453,
