Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 15, 0, 0, 0.63, 0.63, 9216, 0, 0.63, 1.291, 0.661, 493, 1.291, 1.953, 0.663, 14336, 0, 1.953, 2.61, 0.657, 2100, 2.61, 3.23, 0.62, 9216, 0, 3.23, 3.88, 0.649, 900, 3.88, 4.054, 0.174, 5120, 0, 4.054, 4.24, 0.186, 1000, 4.24, 4.324, 0.084, 4096, 0,     4.324,
 1, 15, 1, 1, 1.692, 0.692, 10240, 0, 1.692, 2.366, 0.673, 504, 2.366, 3.062, 0.696, 15360, 0, 3.062, 3.779, 0.718, 2250, 3.779, 4.409, 0.63, 10240, 0, 4.409, 5.126, 0.717, 1000, 5.126, 5.314, 0.188, 5120, 0, 5.314, 5.501, 0.187, 1000, 5.501, 5.595, 0.094, 4096, 0,     4.595,
 2, 15, 2, 2, 2.771, 0.771, 11264, 0, 2.771, 3.601, 0.83, 551, 3.601, 4.334, 0.734, 16384, 0, 4.334, 5.058, 0.724, 2400, 5.058, 5.666, 0.608, 10240, 0, 5.666, 6.387, 0.721, 1000, 6.387, 6.563, 0.176, 5120, 0, 6.563, 6.759, 0.197, 1000, 6.759, 6.846, 0.086, 4096, 0,     4.846,
 3, 15, 3, 3, 3.808, 0.808, 11264, 0, 3.808, 4.579, 0.771, 558, 4.579, 5.285, 0.707, 16384, 0, 5.285, 5.992, 0.707, 2400, 5.992, 6.596, 0.603, 10240, 0, 6.596, 7.315, 0.719, 1000, 7.315, 7.483, 0.168, 5120, 0, 7.483, 7.667, 0.183, 1000, 7.667, 7.759, 0.093, 4096, 0,     4.759,
 4, 15, 4, 4, 4.675, 0.675, 10240, 0, 4.675, 5.436, 0.761, 544, 5.436, 6.167, 0.731, 16384, 0, 6.167, 6.938, 0.771, 2400, 6.938, 7.613, 0.676, 10240, 0, 7.613, 8.339, 0.726, 1000, 8.339, 8.524, 0.185, 5120, 0, 8.524, 8.719, 0.195, 1000, 8.719, 8.809, 0.091, 4096, 0,     4.809,
 5, 15, 5, 5, 5.724, 0.724, 10240, 0, 5.724, 6.478, 0.754, 500, 6.478, 7.187, 0.709, 15360, 0, 7.187, 7.893, 0.705, 2250, 7.893, 8.623, 0.73, 10240, 0, 8.623, 9.332, 0.709, 1000, 9.332, 9.508, 0.176, 5120, 0, 9.508, 9.692, 0.184, 1000, 9.692, 9.777, 0.086, 4096, 0,     4.777,
 6, 15, 6, 6, 6.647, 0.647, 9216, 0, 6.647, 7.368, 0.722, 495, 7.368, 7.968, 0.599, 14336, 0, 7.968, 8.601, 0.633, 2100, 8.601, 9.237, 0.636, 9216, 0, 9.237, 9.955, 0.718, 900, 9.955, 10.135, 0.179, 5120, 0, 10.135, 10.302, 0.167, 1000, 10.302, 10.396, 0.094, 4096, 0,     4.396,
 7, 15, 7, 7, 7.981, 0.981, 14336, 0, 7.981, 9.023, 1.042, 710, 9.023, 9.976, 0.953, 21504, 0, 9.976, 11, 1.024, 3150, 11, 11.928, 0.928, 14336, 0, 11.928, 12.924, 0.996, 1400, 12.924, 13.145, 0.221, 7168, 0, 13.145, 13.396, 0.251, 1400, 13.396, 13.504, 0.108, 5120, 0,     6.504,
 8, 15, 8, 8, 8.826, 0.826, 12288, 0, 8.826, 9.902, 1.076, 608, 9.902, 10.783, 0.881, 18432, 0, 10.783, 11.845, 1.062, 2700, 11.845, 12.778, 0.933, 12288, 0, 12.778, 13.866, 1.088, 1200, 13.866, 14.065, 0.199, 6144, 0, 14.065, 14.267, 0.202, 1200, 14.267, 14.377, 0.111, 5120, 0,     6.377,
 9, 15, 9, 9, 9.862, 0.862, 12288, 0, 9.862, 10.783, 0.921, 627, 10.783, 11.625, 0.843, 18432, 0, 11.625, 12.66, 1.034, 2700, 12.66, 13.601, 0.941, 12288, 0, 13.601, 14.761, 1.16, 1200, 14.761, 14.96, 0.198, 6144, 0, 14.96, 15.156, 0.197, 1200, 15.156, 15.267, 0.111, 5120, 0,     6.267,
 10, 15, 10, 10, 10.627, 0.627, 9216, 0, 10.627, 11.466, 0.839, 485, 11.466, 12.253, 0.787, 14336, 0, 12.253, 13.312, 1.059, 2100, 13.312, 14.194, 0.881, 9216, 0, 14.194, 15.395, 1.202, 900, 15.395, 15.574, 0.179, 5120, 0, 15.574, 15.759, 0.186, 1000, 15.759, 15.844, 0.085, 4096, 0,     5.844,
 11, 15, 11, 11, 11.689, 0.689, 10240, 0, 11.689, 12.428, 0.739, 508, 12.428, 13.134, 0.706, 15360, 0, 13.134, 14.061, 0.927, 2250, 14.061, 14.821, 0.76, 10240, 0, 14.821, 16.088, 1.267, 1000, 16.088, 16.257, 0.169, 5120, 0, 16.257, 16.424, 0.167, 1000, 16.424, 16.511, 0.086, 4096, 0,     5.511,
 12, 15, 12, 12, 12.835, 0.835, 12288, 0, 12.835, 13.721, 0.887, 630, 13.721, 14.597, 0.876, 18432, 0, 14.597, 15.451, 0.854, 2700, 15.451, 16.243, 0.792, 12288, 0, 16.243, 17.125, 0.882, 1200, 17.125, 17.332, 0.207, 6144, 0, 17.332, 17.532, 0.2, 1200, 17.532, 17.641, 0.109, 5120, 0,     5.641,
 13, 15, 13, 13, 13.996, 0.996, 13312, 0, 13.996, 14.886, 0.89, 653, 14.886, 15.831, 0.945, 19456, 0, 15.831, 16.734, 0.903, 2850, 16.734, 17.562, 0.828, 12288, 0, 17.562, 18.435, 0.873, 1200, 18.435, 18.644, 0.208, 6144, 0, 18.644, 18.852, 0.208, 1200, 18.852, 18.954, 0.102, 5120, 0,     5.954,
 14, 15, 14, 14, 14.866, 0.866, 13312, 0, 14.866, 15.842, 0.976, 681, 15.842, 16.781, 0.938, 20480, 0, 16.781, 17.734, 0.954, 3000, 17.734, 18.594, 0.86, 13312, 0, 18.594, 19.577, 0.983, 1300, 19.577, 19.831, 0.253, 7168, 0, 19.831, 20.099, 0.268, 1400, 20.099, 20.207, 0.108, 5120, 0,     6.207,
 15, 15, 15, 15, 15.868, 0.868, 13312, 0, 15.868, 16.794, 0.926, 677, 16.794, 17.706, 0.912, 20480, 0, 17.706, 18.681, 0.974, 3000, 18.681, 19.521, 0.841, 13312, 0, 19.521, 20.53, 1.009, 1300, 20.53, 20.764, 0.234, 7168, 0, 20.764, 21.007, 0.242, 1400, 21.007, 21.127, 0.121, 5120, 0,     6.127,
 16, 15, 16, 16, 16.756, 0.756, 11264, 0, 16.756, 17.593, 0.837, 595, 17.593, 18.512, 0.918, 17408, 0, 18.512, 19.501, 0.989, 2550, 19.501, 20.261, 0.76, 11264, 0, 20.261, 21.315, 1.054, 1100, 21.315, 21.52, 0.205, 6144, 0, 21.52, 21.742, 0.222, 1200, 21.742, 21.839, 0.097, 5120, 0,     5.839,
 17, 15, 17, 17, 17.798, 0.798, 10240, 0, 17.798, 18.466, 0.668, 501, 18.466, 19.178, 0.711, 15360, 0, 19.178, 20.281, 1.103, 2250, 20.281, 20.884, 0.603, 10240, 0, 20.884, 22.087, 1.203, 1000, 22.087, 22.259, 0.172, 5120, 0, 22.259, 22.449, 0.19, 1000, 22.449, 22.537, 0.089, 4096, 0,     5.537,
 18, 15, 18, 18, 18.946, 0.946, 13312, 0, 18.946, 19.974, 1.028, 690, 19.974, 20.926, 0.952, 20480, 0, 20.926, 21.897, 0.971, 3000, 21.897, 22.732, 0.836, 13312, 0, 22.732, 23.6, 0.867, 1300, 23.6, 23.831, 0.232, 7168, 0, 23.831, 24.066, 0.234, 1400, 24.066, 24.167, 0.102, 5120, 0,     6.167,
 19, 15, 19, 19, 19.781, 0.781, 11264, 0, 19.781, 20.804, 1.024, 568, 20.804, 21.702, 0.898, 17408, 0, 21.702, 22.707, 1.005, 2550, 22.707, 23.434, 0.727, 11264, 0, 23.434, 24.353, 0.918, 1100, 24.353, 24.552, 0.2, 6144, 0, 24.552, 24.78, 0.228, 1200, 24.78, 24.891, 0.111, 5120, 0,     5.891,
 20, 15, 20, 20, 20.921, 0.921, 14336, 0, 20.921, 21.938, 1.017, 710, 21.938, 22.81, 0.873, 21504, 0, 22.81, 23.778, 0.968, 3150, 23.778, 24.639, 0.861, 14336, 0, 24.639, 25.738, 1.1, 1400, 25.738, 25.98, 0.242, 7168, 0, 25.98, 26.238, 0.257, 1400, 26.238, 26.336, 0.098, 5120, 0,     6.336,
 21, 15, 21, 21, 21.928, 0.928, 13312, 0, 21.928, 22.897, 0.969, 677, 22.897, 23.833, 0.936, 20480, 0, 23.833, 24.732, 0.899, 3000, 24.732, 25.583, 0.85, 13312, 0, 25.583, 26.761, 1.178, 1300, 26.761, 27, 0.239, 7168, 0, 27, 27.271, 0.27, 1400, 27.271, 27.393, 0.123, 5120, 0,     6.393,
 22, 15, 22, 22, 22.779, 0.779, 10240, 0, 22.779, 23.61, 0.831, 511, 23.61, 24.481, 0.871, 15360, 0, 24.481, 25.404, 0.923, 2250, 25.404, 26.281, 0.877, 10240, 0, 26.281, 27.518, 1.238, 1000, 27.518, 27.695, 0.177, 5120, 0, 27.695, 27.866, 0.171, 1000, 27.866, 27.954, 0.088, 4096, 0,     5.954,
 23, 15, 23, 23, 23.899, 0.899, 12288, 0, 23.899, 24.747, 0.848, 615, 24.747, 25.54, 0.793, 18432, 0, 25.54, 26.335, 0.795, 2700, 26.335, 27.136, 0.802, 12288, 0, 27.136, 28.372, 1.236, 1200, 28.372, 28.59, 0.218, 6144, 0, 28.59, 28.8, 0.21, 1200, 28.8, 28.909, 0.109, 5120, 0,     5.909,
