Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 14, 9, 14, 14, 16.037, 2.037, 15360, 0, 16.037, 17.332, 1.295, 786, 17.332, 18.56, 1.228, 23552, 0, 18.56, 19.925, 1.365, 1840, 19.925, 21.383, 1.458, 11264, 0, 21.383, 22.618, 1.236, 1650, 22.618, 23.548, 0.93, 7168, 0, 23.548, 24.606, 1.058, 1400, 24.606, 25.074, 0.468, 5120, 0,    11.074,
 15, 9, 15, 15, 17.391, 2.391, 16384, 0, 17.391, 18.831, 1.44, 811, 18.831, 20.05, 1.219, 24576, 0, 20.05, 21.273, 1.222, 1920, 21.273, 22.969, 1.697, 12288, 0, 22.969, 24.317, 1.347, 1800, 24.317, 25.281, 0.964, 8192, 0, 25.281, 26.458, 1.177, 1600, 26.458, 26.97, 0.512, 6144, 0,    11.970,
 16, 9, 16, 16, 18.734, 2.734, 15360, 0, 18.734, 20.057, 1.323, 780, 20.057, 21.202, 1.145, 23552, 0, 21.202, 22.614, 1.412, 1840, 22.614, 24.062, 1.448, 11264, 0, 24.062, 25.945, 1.883, 1650, 25.945, 27.115, 1.17, 7168, 0, 27.115, 28.329, 1.215, 1400, 28.329, 28.765, 0.436, 5120, 0,    12.765,
 17, 9, 17, 17, 19.744, 2.744, 14336, 0, 19.744, 21.154, 1.41, 721, 21.154, 22.102, 0.947, 21504, 0, 22.102, 23.903, 1.802, 1680, 23.903, 25.1, 1.196, 10240, 0, 25.1, 27.07, 1.97, 1500, 27.07, 27.897, 0.827, 6144, 0, 27.897, 29.225, 1.328, 1200, 29.225, 29.68, 0.455, 5120, 0,    12.680,
 18, 9, 18, 18, 20.68, 2.68, 13312, 0, 20.68, 22.361, 1.681, 664, 22.361, 23.444, 1.083, 19456, 0, 23.444, 24.864, 1.42, 1520, 24.864, 26.082, 1.218, 9216, 0, 26.082, 27.907, 1.825, 1350, 27.907, 28.671, 0.764, 6144, 0, 28.671, 30.092, 1.421, 1200, 30.092, 30.58, 0.488, 5120, 0,    12.580,
 19, 9, 19, 19, 21.672, 2.672, 13312, 0, 21.672, 23.392, 1.72, 672, 23.392, 24.549, 1.156, 20480, 0, 24.549, 25.912, 1.363, 1600, 25.912, 26.954, 1.042, 10240, 0, 26.954, 28.985, 2.031, 1500, 28.985, 29.698, 0.714, 6144, 0, 29.698, 31.11, 1.412, 1200, 31.11, 31.546, 0.435, 5120, 0,    12.546,
 20, 9, 20, 20, 22.479, 2.479, 11264, 0, 22.479, 24.285, 1.806, 581, 24.285, 25.499, 1.214, 17408, 0, 25.499, 27.121, 1.622, 1360, 27.121, 27.811, 0.689, 8192, 0, 27.811, 29.93, 2.119, 1200, 29.93, 30.541, 0.611, 5120, 0, 30.541, 31.935, 1.395, 1000, 31.935, 32.332, 0.397, 4096, 0,    12.332,
 21, 9, 21, 21, 23.625, 2.625, 16384, 0, 23.625, 25.632, 2.007, 804, 25.632, 26.825, 1.193, 24576, 0, 26.825, 28.222, 1.397, 1920, 28.222, 29.62, 1.398, 12288, 0, 29.62, 31.456, 1.836, 1800, 31.456, 32.52, 1.063, 8192, 0, 32.52, 33.855, 1.335, 1600, 33.855, 34.444, 0.589, 6144, 0,    13.444,
 22, 9, 22, 22, 24.972, 2.972, 16384, 0, 24.972, 27.101, 2.129, 825, 27.101, 28.277, 1.176, 24576, 0, 28.277, 29.505, 1.228, 1920, 29.505, 30.719, 1.214, 12288, 0, 30.719, 32.636, 1.917, 1800, 32.636, 33.583, 0.947, 8192, 0, 33.583, 35.241, 1.657, 1600, 35.241, 35.745, 0.505, 6144, 0,    13.745,
 23, 9, 23, 23, 25.878, 2.878, 13312, 0, 25.878, 28.45, 2.572, 674, 28.45, 29.64, 1.19, 20480, 0, 29.64, 30.799, 1.159, 1600, 30.799, 32.16, 1.361, 10240, 0, 32.16, 33.69, 1.531, 1500, 33.69, 34.408, 0.718, 6144, 0, 34.408, 36.645, 2.237, 1200, 36.645, 37.135, 0.49, 5120, 0,    14.135,
 24, 9, 24, 24, 26.918, 2.918, 15360, 0, 26.918, 29.563, 2.645, 753, 29.563, 30.607, 1.044, 22528, 0, 30.607, 31.883, 1.276, 1760, 31.883, 33.304, 1.421, 11264, 0, 33.304, 34.964, 1.66, 1650, 34.964, 36.013, 1.049, 7168, 0, 36.013, 37.893, 1.88, 1400, 37.893, 38.481, 0.588, 5120, 0,    14.481,
 25, 9, 25, 25, 28.103, 3.103, 15360, 0, 28.103, 30.814, 2.711, 770, 30.814, 31.949, 1.136, 23552, 0, 31.949, 33.204, 1.254, 1840, 33.204, 34.52, 1.316, 11264, 0, 34.52, 36.048, 1.528, 1650, 36.048, 37.093, 1.045, 7168, 0, 37.093, 39.038, 1.944, 1400, 39.038, 39.639, 0.601, 5120, 0,    14.639,
 26, 9, 26, 26, 29.26, 3.26, 15360, 0, 29.26, 32.166, 2.906, 770, 32.166, 33.434, 1.268, 23552, 0, 33.434, 34.659, 1.225, 1840, 34.659, 35.72, 1.062, 11264, 0, 35.72, 37.363, 1.642, 1650, 37.363, 38.654, 1.292, 7168, 0, 38.654, 40.24, 1.586, 1400, 40.24, 40.695, 0.454, 5120, 0,    14.695,
 27, 9, 27, 27, 30.215, 3.215, 13312, 0, 30.215, 33.136, 2.921, 687, 33.136, 34.482, 1.347, 20480, 0, 34.482, 35.71, 1.228, 1600, 35.71, 36.714, 1.004, 10240, 0, 36.714, 38.337, 1.623, 1500, 38.337, 39.592, 1.255, 6144, 0, 39.592, 41.13, 1.538, 1200, 41.13, 41.561, 0.431, 5120, 0,    14.561,
 28, 9, 28, 28, 31.049, 3.049, 11264, 0, 31.049, 34.064, 3.015, 597, 34.064, 35.479, 1.415, 17408, 0, 35.479, 36.588, 1.109, 1360, 36.588, 37.427, 0.839, 8192, 0, 37.427, 39.303, 1.876, 1200, 39.303, 40.4, 1.097, 5120, 0, 40.4, 41.889, 1.49, 1000, 41.889, 42.225, 0.335, 4096, 0,    14.225,
