Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 413, 0, 0, 0.933, 0.933, 10240, 0, 0.933, 2.824, 1.891, 1561, 2.824, 3.637, 0.813, 7168, 0, 3.637, 5.328, 1.691, 1050, 5.328, 6.097, 0.77, 9216, 0,     6.097,
 1, 413, 1, 1, 1.84, 0.84, 9216, 0, 1.84, 3.528, 1.688, 1383, 3.528, 4.319, 0.791, 6144, 0, 4.319, 5.789, 1.47, 900, 5.789, 6.782, 0.993, 8192, 0,     5.782,
 2, 413, 2, 2, 2.84, 0.84, 9216, 0, 2.84, 4.559, 1.72, 1419, 4.559, 5.362, 0.802, 7168, 0, 5.362, 7.059, 1.698, 1050, 7.059, 7.829, 0.77, 9216, 0,     5.829,
 4, 413, 4, 4, 4.864, 0.864, 8192, 0, 4.864, 6.482, 1.618, 1332, 6.482, 8.175, 1.693, 6144, 0, 8.175, 9.642, 1.466, 900, 9.642, 10.326, 0.684, 8192, 0,     6.326,
 3, 413, 3, 3, 4.119, 1.119, 12288, 0, 4.119, 6.462, 2.343, 1933, 6.462, 7.492, 1.03, 9216, 0, 7.492, 9.676, 2.183, 1350, 9.676, 11.35, 1.674, 12288, 0,     8.350,
 5, 413, 5, 5, 5.933, 0.933, 10240, 0, 5.933, 8.284, 2.351, 1503, 8.284, 9.088, 0.804, 7168, 0, 9.088, 11.339, 2.251, 1050, 11.339, 12.127, 0.788, 9216, 0,     7.127,
 6, 413, 6, 6, 7.119, 1.119, 12288, 0, 7.119, 9.348, 2.229, 1840, 9.348, 10.378, 1.03, 9216, 0, 10.378, 12.581, 2.202, 1350, 12.581, 13.607, 1.026, 12288, 0,     7.607,
 7, 413, 7, 7, 8.143, 1.143, 11264, 0, 8.143, 10.416, 2.273, 1760, 10.416, 11.34, 0.924, 8192, 0, 11.34, 13.28, 1.94, 1200, 13.28, 14.46, 1.18, 10240, 0,     7.460,
 8, 413, 8, 8, 8.984, 0.984, 9216, 0, 8.984, 11.072, 2.088, 1408, 11.072, 12.137, 1.065, 7168, 0, 12.137, 14.279, 2.142, 1050, 14.279, 15.228, 0.949, 9216, 0,     7.228,
 9, 413, 9, 9, 10.119, 1.119, 12288, 0, 10.119, 12.654, 2.535, 1847, 12.654, 13.684, 1.03, 9216, 0, 13.684, 15.864, 2.181, 1350, 15.864, 16.891, 1.026, 12288, 0,     7.891,
