Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 55, 286, 55, 55, 56.225, 1.225, 16384, 0, 56.225, 59.083, 2.858, 1644, 59.083, 60.112, 1.029, 16384, 0,     5.112,
 56, 286, 56, 56, 57.05, 1.05, 12288, 0, 57.05, 59.542, 2.492, 1272, 59.542, 60.89, 1.348, 12288, 0,     4.890,
 57, 286, 57, 57, 57.879, 0.879, 12288, 0, 57.879, 60.703, 2.824, 1210, 60.703, 61.661, 0.959, 12288, 0,     4.661,
 58, 286, 58, 58, 58.827, 0.827, 12288, 0, 58.827, 61.168, 2.342, 1220, 61.168, 62.429, 1.261, 12288, 0,     4.429,
 59, 286, 59, 59, 60.098, 1.098, 16384, 0, 60.098, 62.964, 2.866, 1695, 62.964, 63.99, 1.026, 16384, 0,     4.990,
 60, 286, 60, 60, 61.123, 1.123, 15360, 0, 61.123, 63.251, 2.128, 1563, 63.251, 64.95, 1.699, 15360, 0,     4.950,
 61, 286, 61, 61, 62.011, 1.011, 13312, 0, 62.011, 64.824, 2.813, 1395, 64.824, 65.782, 0.958, 13312, 0,     4.782,
 62, 286, 62, 62, 62.899, 0.899, 13312, 0, 62.899, 65.051, 2.152, 1351, 65.051, 66.616, 1.565, 13312, 0,     4.616,
 64, 286, 64, 64, 65.055, 1.055, 13312, 0, 65.055, 66.892, 1.838, 1374, 66.892, 67.726, 0.834, 13312, 0,     3.726,
 63, 286, 63, 63, 64.167, 1.167, 17408, 0, 64.167, 67.177, 3.01, 1761, 67.177, 68.815, 1.638, 17408, 0,     5.815,
 65, 286, 65, 65, 66.016, 1.016, 14336, 0, 66.016, 68.765, 2.749, 1402, 68.765, 69.718, 0.953, 14336, 0,     4.718,
 66, 286, 66, 66, 67.177, 1.177, 17408, 0, 67.177, 69.576, 2.399, 1798, 69.576, 70.806, 1.23, 17408, 0,     4.806,
 67, 286, 67, 67, 68.139, 1.139, 14336, 0, 68.139, 70.664, 2.525, 1415, 70.664, 71.702, 1.037, 14336, 0,     4.702,
 68, 286, 68, 68, 69.238, 1.238, 16384, 0, 69.238, 71.844, 2.605, 1698, 71.844, 72.87, 1.026, 16384, 0,     4.870,
 69, 286, 69, 69, 70.399, 1.399, 17408, 0, 70.399, 73.019, 2.62, 1766, 73.019, 74.108, 1.09, 17408, 0,     5.108,
 70, 286, 70, 70, 71.364, 1.364, 14336, 0, 71.364, 73.841, 2.477, 1497, 73.841, 75.004, 1.163, 14336, 0,     5.004,
 71, 286, 71, 71, 72.388, 1.388, 15360, 0, 72.388, 75.138, 2.749, 1590, 75.138, 76.099, 0.962, 15360, 0,     5.099,
 72, 286, 72, 72, 73.207, 1.207, 12288, 0, 73.207, 75.558, 2.351, 1285, 75.558, 76.875, 1.317, 12288, 0,     4.875,
 73, 286, 73, 73, 74.095, 1.095, 13312, 0, 74.095, 76.973, 2.879, 1377, 76.973, 77.817, 0.843, 13312, 0,     4.817,
