Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 290, 0, 0, 0.794, 0.794, 10240, 0, 0.794, 2.48, 1.687, 1097, 2.48, 3.215, 0.735, 10240, 0, 3.215, 4.754, 1.538, 1500, 4.754, 5.472, 0.718, 7168, 0, 5.472, 6.907, 1.435, 1050, 6.907, 7.568, 0.661, 9216, 0,     7.568,
 1, 290, 1, 1, 1.872, 0.872, 11264, 0, 1.872, 3.71, 1.838, 1186, 3.71, 4.517, 0.807, 11264, 0, 4.517, 6.209, 1.692, 1650, 6.209, 7.03, 0.821, 8192, 0, 7.03, 8.673, 1.642, 1200, 8.673, 9.411, 0.739, 10240, 0,     8.411,
 2, 290, 2, 2, 3.03, 1.03, 13312, 0, 3.03, 5.118, 2.088, 1357, 5.118, 6.073, 0.954, 13312, 0, 6.073, 8.07, 1.997, 1950, 8.07, 8.993, 0.924, 9216, 0, 8.993, 10.841, 1.847, 1350, 10.841, 11.722, 0.881, 12288, 0,     9.722,
 3, 290, 3, 3, 3.975, 0.975, 12288, 0, 3.975, 5.82, 1.845, 1200, 5.82, 6.951, 1.131, 12288, 0, 6.951, 8.799, 1.848, 1800, 8.799, 9.92, 1.121, 9216, 0, 9.92, 11.762, 1.842, 1350, 11.762, 12.643, 0.881, 12288, 0,     9.643,
 4, 290, 4, 4, 4.873, 0.873, 11264, 0, 4.873, 6.824, 1.952, 1102, 6.824, 7.76, 0.936, 11264, 0, 7.76, 9.764, 2.004, 1650, 9.764, 10.741, 0.976, 8192, 0, 10.741, 12.482, 1.742, 1200, 12.482, 13.376, 0.894, 10240, 0,     9.376,
 5, 290, 5, 5, 5.794, 0.794, 10240, 0, 5.794, 7.424, 1.63, 1042, 7.424, 8.492, 1.068, 10240, 0, 8.492, 10.351, 1.86, 1500, 10.351, 11.457, 1.106, 7168, 0, 11.457, 13.206, 1.749, 1050, 13.206, 14.041, 0.835, 9216, 0,     9.041,
 6, 290, 6, 6, 7.035, 1.035, 13312, 0, 7.035, 9.127, 2.092, 1360, 9.127, 10.082, 0.955, 13312, 0, 10.082, 12.084, 2.003, 1950, 12.084, 13.015, 0.93, 9216, 0, 13.015, 14.863, 1.848, 1350, 14.863, 15.747, 0.884, 12288, 0,     9.747,
 7, 290, 7, 7, 8.139, 1.139, 14336, 0, 8.139, 10.381, 2.242, 1450, 10.381, 11.407, 1.026, 14336, 0, 11.407, 13.551, 2.145, 2100, 13.551, 14.581, 1.03, 10240, 0, 14.581, 16.634, 2.053, 1500, 16.634, 17.586, 0.952, 13312, 0,    10.586,
 8, 290, 8, 8, 9.244, 1.244, 14336, 0, 9.244, 11.5, 2.256, 1467, 11.5, 12.532, 1.031, 14336, 0, 12.532, 14.693, 2.161, 2100, 14.693, 15.727, 1.034, 10240, 0, 15.727, 17.793, 2.066, 1500, 17.793, 18.744, 0.951, 13312, 0,    10.744,
 9, 290, 9, 9, 10.118, 1.118, 11264, 0, 10.118, 12.198, 2.08, 1182, 12.198, 13.338, 1.14, 11264, 0, 13.338, 15.243, 1.904, 1650, 15.243, 16.554, 1.311, 8192, 0, 16.554, 18.277, 1.723, 1200, 18.277, 19.479, 1.202, 10240, 0,    10.479,
 10, 290, 10, 10, 11.308, 1.308, 15360, 0, 11.308, 13.846, 2.538, 1524, 13.846, 14.945, 1.099, 15360, 0, 14.945, 17.247, 2.302, 2250, 17.247, 18.378, 1.131, 11264, 0, 18.378, 20.633, 2.255, 1650, 20.633, 21.665, 1.031, 14336, 0,    11.665,
 11, 290, 11, 11, 12.411, 1.411, 14336, 0, 12.411, 14.566, 2.155, 1401, 14.566, 15.977, 1.412, 14336, 0, 15.977, 18.134, 2.156, 2100, 18.134, 19.409, 1.275, 10240, 0, 19.409, 21.467, 2.058, 1500, 21.467, 22.616, 1.149, 13312, 0,    11.616,
 12, 290, 12, 12, 13.513, 1.513, 14336, 0, 13.513, 16.149, 2.635, 1498, 16.149, 17.176, 1.027, 14336, 0, 17.176, 19.407, 2.231, 2100, 19.407, 20.435, 1.028, 10240, 0, 20.435, 22.685, 2.25, 1500, 22.685, 23.638, 0.953, 13312, 0,    11.638,
 13, 290, 13, 13, 14.465, 1.465, 12288, 0, 14.465, 16.428, 1.963, 1211, 16.428, 18.059, 1.631, 12288, 0, 18.059, 19.985, 1.926, 1800, 19.985, 21.357, 1.373, 9216, 0, 21.357, 23.318, 1.961, 1350, 23.318, 24.516, 1.198, 12288, 0,    11.516,
 14, 290, 14, 14, 15.41, 1.41, 12288, 0, 15.41, 18.06, 2.65, 1237, 18.06, 18.939, 0.88, 12288, 0, 18.939, 21.254, 2.315, 1800, 21.254, 22.287, 1.033, 9216, 0, 22.287, 24.533, 2.246, 1350, 24.533, 25.411, 0.878, 12288, 0,    11.411,
 15, 290, 15, 15, 16.355, 1.355, 12288, 0, 16.355, 18.313, 1.958, 1225, 18.313, 19.817, 1.504, 12288, 0, 19.817, 21.839, 2.022, 1800, 21.839, 23.21, 1.371, 9216, 0, 23.21, 25.168, 1.957, 1350, 25.168, 26.289, 1.121, 12288, 0,    11.289,
 16, 290, 16, 16, 17.227, 1.227, 11264, 0, 17.227, 19.831, 2.604, 1152, 19.831, 20.645, 0.815, 11264, 0, 20.645, 22.948, 2.302, 1650, 22.948, 24.03, 1.082, 8192, 0, 24.03, 26.176, 2.146, 1200, 26.176, 27.025, 0.849, 10240, 0,    11.025,
 17, 290, 17, 17, 18.015, 1.015, 10240, 0, 18.015, 19.928, 1.913, 1050, 19.928, 21.377, 1.449, 10240, 0, 21.377, 23.383, 2.006, 1500, 23.383, 24.753, 1.37, 7168, 0, 24.753, 26.603, 1.85, 1050, 26.603, 27.684, 1.081, 9216, 0,    10.684,
 19, 290, 19, 19, 19.801, 0.801, 10240, 0, 19.801, 21.616, 1.816, 1095, 21.616, 22.354, 0.738, 10240, 0, 22.354, 24.498, 2.144, 1500, 24.498, 25.475, 0.976, 7168, 0, 25.475, 27.612, 2.137, 1050, 27.612, 28.342, 0.73, 9216, 0,     9.342,
 18, 290, 18, 18, 18.889, 0.889, 11264, 0, 18.889, 21.686, 2.797, 1198, 21.686, 23.159, 1.473, 11264, 0, 23.159, 25.079, 1.92, 1650, 25.079, 26.301, 1.222, 8192, 0, 26.301, 28.248, 1.947, 1200, 28.248, 29.075, 0.827, 10240, 0,    11.075,
