Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 18, 14, 18, 18, 19.197, 1.197, 10240, 0, 19.197, 20.385, 1.188, 523, 20.385, 21.43, 1.045, 15360, 0, 21.43, 30.825, 9.396, 1200, 30.825, 31.627, 0.801, 7168, 0, 31.627, 32.263, 0.636, 700, 32.263, 32.448, 0.186, 3072, 0,    14.448,
 19, 14, 19, 19, 20.221, 1.221, 11264, 0, 20.221, 21.466, 1.245, 595, 21.466, 22.492, 1.026, 17408, 0, 22.492, 32.37, 9.877, 1360, 32.37, 33.282, 0.912, 8192, 0, 33.282, 34.005, 0.723, 800, 34.005, 34.248, 0.243, 4096, 0,    15.248,
 20, 14, 20, 20, 21.245, 1.245, 11264, 0, 21.245, 22.503, 1.258, 568, 22.503, 23.529, 1.026, 17408, 0, 23.529, 33.914, 10.385, 1360, 33.914, 34.826, 0.912, 8192, 0, 34.826, 35.553, 0.727, 800, 35.553, 35.796, 0.243, 4096, 0,    15.796,
 21, 14, 21, 21, 22.083, 1.083, 9216, 0, 22.083, 23.348, 1.265, 462, 23.348, 24.312, 0.964, 13312, 0, 24.312, 35.095, 10.783, 1040, 35.095, 35.78, 0.685, 6144, 0, 35.78, 36.329, 0.549, 600, 36.329, 36.512, 0.183, 3072, 0,    15.512,
 22, 14, 22, 22, 23.014, 1.014, 10240, 0, 23.014, 24.333, 1.319, 540, 24.333, 25.3, 0.967, 16384, 0, 25.3, 36.549, 11.249, 1280, 36.549, 37.461, 0.912, 8192, 0, 37.461, 38.183, 0.722, 800, 38.183, 38.426, 0.243, 4096, 0,    16.426,
 23, 14, 23, 23, 23.852, 0.852, 9216, 0, 23.852, 25.173, 1.321, 459, 25.173, 26.083, 0.91, 13312, 0, 26.083, 37.743, 11.66, 1040, 37.743, 38.436, 0.694, 6144, 0, 38.436, 38.985, 0.548, 600, 38.985, 39.176, 0.191, 3072, 0,    16.176,
 24, 14, 24, 24, 24.938, 0.938, 10240, 0, 24.938, 26.093, 1.155, 500, 26.093, 26.998, 0.905, 15360, 0, 26.998, 39.105, 12.107, 1200, 39.105, 39.909, 0.803, 7168, 0, 39.909, 40.547, 0.638, 700, 40.547, 40.729, 0.183, 3072, 0,    16.729,
 25, 14, 25, 25, 26.216, 1.216, 13312, 0, 26.216, 27.413, 1.197, 652, 27.413, 28.56, 1.146, 19456, 0, 28.56, 40.833, 12.273, 1520, 40.833, 41.859, 1.027, 9216, 0, 41.859, 42.691, 0.832, 900, 42.691, 42.995, 0.304, 5120, 0,    17.995,
 26, 14, 26, 26, 27.054, 1.054, 9216, 0, 27.054, 28.283, 1.229, 474, 28.283, 29.408, 1.124, 14336, 0, 29.408, 42.115, 12.708, 1120, 42.115, 42.914, 0.799, 7168, 0, 42.914, 43.546, 0.633, 700, 43.546, 43.73, 0.184, 3072, 0,    17.730,
 27, 14, 27, 27, 28.078, 1.078, 11264, 0, 28.078, 29.313, 1.235, 563, 29.313, 30.371, 1.058, 16384, 0, 30.371, 43.569, 13.198, 1280, 43.569, 44.485, 0.916, 8192, 0, 44.485, 45.217, 0.732, 800, 45.217, 45.46, 0.243, 4096, 0,    18.460,
 28, 14, 28, 28, 29.102, 1.102, 11264, 0, 29.102, 30.346, 1.245, 568, 30.346, 31.397, 1.051, 17408, 0, 31.397, 45.125, 13.728, 1360, 45.125, 46.038, 0.913, 8192, 0, 46.038, 46.769, 0.73, 800, 46.769, 47.012, 0.243, 4096, 0,    19.012,
 29, 14, 29, 29, 29.94, 0.94, 9216, 0, 29.94, 31.206, 1.267, 473, 31.206, 32.243, 1.037, 14336, 0, 32.243, 46.397, 14.154, 1120, 46.397, 47.195, 0.798, 7168, 0, 47.195, 47.836, 0.641, 700, 47.836, 48.019, 0.183, 3072, 0,    19.019,
 30, 14, 30, 30, 31.04, 1.04, 11264, 0, 31.04, 32.242, 1.202, 569, 32.242, 33.268, 1.026, 17408, 0, 33.268, 47.951, 14.682, 1360, 47.951, 48.863, 0.912, 8192, 0, 48.863, 49.596, 0.734, 800, 49.596, 49.839, 0.243, 4096, 0,    19.839,
 31, 14, 31, 31, 31.785, 0.785, 8192, 0, 31.785, 33.055, 1.271, 448, 33.055, 34.057, 1.001, 13312, 0, 34.057, 49.132, 15.075, 1040, 49.132, 49.822, 0.691, 6144, 0, 49.822, 50.371, 0.549, 600, 50.371, 50.559, 0.188, 3072, 0,    19.559,
 32, 14, 32, 32, 33.034, 1.034, 11264, 0, 33.034, 34.067, 1.033, 552, 34.067, 35.033, 0.966, 16384, 0, 35.033, 50.599, 15.566, 1280, 50.599, 51.515, 0.917, 8192, 0, 51.515, 52.247, 0.731, 800, 52.247, 52.494, 0.247, 4096, 0,    20.494,
 33, 14, 33, 33, 34.157, 1.157, 12288, 0, 34.157, 35.261, 1.104, 607, 35.261, 36.347, 1.086, 18432, 0, 36.347, 52.237, 15.89, 1440, 52.237, 53.263, 1.026, 9216, 0, 53.263, 54.085, 0.822, 900, 54.085, 54.388, 0.303, 5120, 0,    21.388,
 34, 14, 34, 34, 35.274, 1.274, 12288, 0, 35.274, 36.459, 1.185, 648, 36.459, 37.605, 1.146, 19456, 0, 37.605, 53.964, 16.359, 1520, 53.964, 54.991, 1.027, 9216, 0, 54.991, 55.824, 0.833, 900, 55.824, 56.127, 0.303, 5120, 0,    22.127,
 35, 14, 35, 35, 36.298, 1.298, 11264, 0, 36.298, 37.457, 1.159, 550, 37.457, 38.569, 1.112, 16384, 0, 38.569, 55.42, 16.851, 1280, 55.42, 56.332, 0.912, 8192, 0, 56.332, 57.059, 0.727, 800, 57.059, 57.308, 0.249, 4096, 0,    22.308,
 36, 14, 36, 36, 37.415, 1.415, 12288, 0, 37.415, 38.558, 1.142, 601, 38.558, 39.662, 1.104, 18432, 0, 39.662, 57.059, 17.397, 1440, 57.059, 58.092, 1.033, 9216, 0, 58.092, 58.909, 0.817, 900, 58.909, 59.212, 0.303, 5120, 0,    23.212,
 37, 14, 37, 37, 38.346, 1.346, 10240, 0, 38.346, 39.475, 1.129, 503, 39.475, 40.566, 1.091, 15360, 0, 40.566, 58.431, 17.865, 1200, 58.431, 59.232, 0.801, 7168, 0, 59.232, 59.877, 0.645, 700, 59.877, 60.06, 0.183, 3072, 0,    23.060,
 38, 14, 38, 38, 39.37, 1.37, 11264, 0, 39.37, 40.517, 1.147, 565, 40.517, 41.531, 1.014, 16384, 0, 41.531, 59.897, 18.366, 1280, 59.897, 60.809, 0.912, 8192, 0, 60.809, 61.553, 0.744, 800, 61.553, 61.796, 0.243, 4096, 0,    23.796,
 39, 14, 39, 39, 40.208, 1.208, 9216, 0, 40.208, 41.372, 1.164, 468, 41.372, 42.374, 1.003, 14336, 0, 42.374, 61.173, 18.799, 1120, 61.173, 61.972, 0.799, 7168, 0, 61.972, 62.626, 0.653, 700, 62.626, 62.817, 0.191, 3072, 0,    23.817,
 40, 14, 40, 40, 41.332, 1.332, 12288, 0, 41.332, 42.54, 1.208, 643, 42.54, 43.692, 1.152, 19456, 0, 43.692, 62.901, 19.21, 1520, 62.901, 63.927, 1.026, 9216, 0, 63.927, 64.751, 0.824, 900, 64.751, 65.054, 0.303, 5120, 0,    25.054,
 41, 14, 41, 41, 42.17, 1.17, 9216, 0, 42.17, 43.368, 1.197, 451, 43.368, 44.475, 1.107, 13312, 0, 44.475, 64.096, 19.621, 1040, 64.096, 64.787, 0.691, 6144, 0, 64.787, 65.336, 0.549, 600, 65.336, 65.524, 0.188, 3072, 0,    24.524,
 42, 14, 42, 42, 43.101, 1.101, 10240, 0, 43.101, 44.356, 1.255, 539, 44.356, 45.442, 1.086, 16384, 0, 45.442, 65.556, 20.114, 1280, 65.556, 66.468, 0.912, 8192, 0, 66.468, 67.194, 0.727, 800, 67.194, 67.439, 0.244, 4096, 0,    25.439,
 43, 14, 43, 43, 44.04, 1.04, 10240, 0, 44.04, 45.293, 1.253, 516, 45.293, 46.345, 1.053, 15360, 0, 46.345, 66.919, 20.573, 1200, 66.919, 67.717, 0.799, 7168, 0, 67.717, 68.353, 0.636, 700, 68.353, 68.539, 0.186, 3072, 0,    25.539,
 44, 14, 44, 44, 45.25, 1.25, 13312, 0, 45.25, 46.488, 1.238, 658, 46.488, 47.634, 1.147, 19456, 0, 47.634, 68.645, 21.01, 1520, 68.645, 69.671, 1.026, 9216, 0, 69.671, 70.504, 0.833, 900, 70.504, 70.807, 0.303, 5120, 0,    26.807,
 45, 14, 45, 45, 46.276, 1.276, 11264, 0, 46.276, 47.493, 1.217, 550, 47.493, 48.598, 1.105, 16384, 0, 48.598, 70.105, 21.507, 1280, 70.105, 71.02, 0.914, 8192, 0, 71.02, 71.754, 0.734, 800, 71.754, 71.997, 0.243, 4096, 0,    26.997,
 46, 14, 46, 46, 47.3, 1.3, 11264, 0, 47.3, 48.575, 1.275, 589, 48.575, 49.626, 1.051, 17408, 0, 49.626, 71.65, 22.024, 1360, 71.65, 72.566, 0.916, 8192, 0, 72.566, 73.304, 0.738, 800, 73.304, 73.547, 0.243, 4096, 0,    27.547,
 47, 14, 47, 47, 48.324, 1.324, 11264, 0, 48.324, 49.626, 1.302, 579, 49.626, 50.652, 1.026, 17408, 0, 50.652, 73.201, 22.549, 1360, 73.201, 74.122, 0.921, 8192, 0, 74.122, 74.853, 0.731, 800, 74.853, 75.096, 0.243, 4096, 0,    28.096,
 48, 14, 48, 48, 49.451, 1.451, 12288, 0, 49.451, 50.806, 1.355, 644, 50.806, 51.96, 1.154, 19456, 0, 51.96, 74.935, 22.975, 1520, 74.935, 75.961, 1.026, 9216, 0, 75.961, 76.779, 0.818, 900, 76.779, 77.09, 0.311, 5120, 0,    29.090,
 49, 14, 49, 49, 50.568, 1.568, 12288, 0, 50.568, 51.98, 1.412, 645, 51.98, 53.126, 1.146, 19456, 0, 53.126, 76.664, 23.537, 1520, 76.664, 77.693, 1.03, 9216, 0, 77.693, 78.513, 0.82, 900, 78.513, 78.824, 0.311, 5120, 0,    29.824,
 50, 14, 50, 50, 51.592, 1.592, 11264, 0, 51.592, 53.066, 1.474, 595, 53.066, 54.15, 1.085, 17408, 0, 54.15, 78.226, 24.076, 1360, 78.226, 79.144, 0.918, 8192, 0, 79.144, 79.879, 0.735, 800, 79.879, 80.122, 0.243, 4096, 0,    30.122,
 51, 14, 51, 51, 52.616, 1.616, 11264, 0, 52.616, 54.102, 1.486, 562, 54.102, 55.123, 1.022, 16384, 0, 55.123, 79.683, 24.559, 1280, 79.683, 80.598, 0.915, 8192, 0, 80.598, 81.325, 0.727, 800, 81.325, 81.568, 0.243, 4096, 0,    30.568,
 52, 14, 52, 52, 53.64, 1.64, 11264, 0, 53.64, 55.121, 1.482, 561, 55.121, 56.096, 0.975, 16384, 0, 56.096, 81.151, 25.055, 1280, 81.151, 82.069, 0.918, 8192, 0, 82.069, 82.812, 0.743, 800, 82.812, 83.063, 0.251, 4096, 0,    31.063,
 53, 14, 53, 53, 54.757, 1.757, 12288, 0, 54.757, 56.269, 1.512, 628, 56.269, 57.361, 1.093, 18432, 0, 57.361, 82.792, 25.431, 1440, 82.792, 83.829, 1.036, 9216, 0, 83.829, 84.649, 0.821, 900, 84.649, 84.953, 0.304, 5120, 0,    31.953,
