Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 14, 13, 14, 14, 15.328, 1.328, 9216, 0, 15.328, 16.825, 1.497, 783, 16.825, 17.51, 0.685, 4096, 0, 17.51, 17.908, 0.397, 600, 17.908, 18.42, 0.512, 2048, 0, 18.42, 18.615, 0.196, 200, 18.615, 18.766, 0.15, 1024, 0, 18.766, 18.866, 0.1, 200, 18.866, 18.868, 0.003, 0, 0,     4.868,
 15, 13, 15, 15, 16.147, 1.147, 8192, 0, 16.147, 17.717, 1.57, 714, 17.717, 18.401, 0.685, 4096, 0, 18.401, 18.801, 0.399, 600, 18.801, 19.312, 0.512, 2048, 0, 19.312, 19.515, 0.203, 200, 19.515, 19.664, 0.148, 1024, 0, 19.664, 19.765, 0.101, 200, 19.765, 19.777, 0.012, 0, 0,     4.777,
 16, 13, 16, 16, 17.171, 1.171, 10240, 0, 17.171, 18.766, 1.595, 834, 18.766, 19.627, 0.861, 5120, 0, 19.627, 20.136, 0.509, 750, 20.136, 20.904, 0.768, 3072, 0, 20.904, 21.214, 0.31, 300, 21.214, 21.362, 0.148, 1024, 0, 21.362, 21.463, 0.101, 200, 21.463, 21.468, 0.005, 0, 0,     5.468,
 17, 13, 17, 17, 18.297, 1.297, 11264, 0, 18.297, 19.883, 1.585, 894, 19.883, 20.738, 0.855, 5120, 0, 20.738, 21.245, 0.507, 750, 21.245, 22.013, 0.768, 3072, 0, 22.013, 22.312, 0.299, 300, 22.312, 22.46, 0.148, 1024, 0, 22.46, 22.557, 0.097, 200, 22.557, 22.569, 0.012, 0, 0,     5.569,
 18, 13, 18, 18, 19.219, 1.219, 9216, 0, 19.219, 20.838, 1.619, 763, 20.838, 21.523, 0.685, 4096, 0, 21.523, 21.926, 0.403, 600, 21.926, 22.525, 0.6, 2048, 0, 22.525, 22.725, 0.2, 200, 22.725, 22.874, 0.149, 1024, 0, 22.874, 22.971, 0.097, 200, 22.971, 22.983, 0.012, 0, 0,     4.983,
 19, 13, 19, 19, 20.038, 1.038, 8192, 0, 20.038, 21.679, 1.641, 673, 21.679, 22.369, 0.69, 4096, 0, 22.369, 22.769, 0.4, 600, 22.769, 23.285, 0.516, 2048, 0, 23.285, 23.482, 0.197, 200, 23.482, 23.637, 0.155, 1024, 0, 23.637, 23.74, 0.103, 200, 23.74, 23.752, 0.012, 0, 0,     4.752,
 20, 13, 20, 20, 21.164, 1.164, 11264, 0, 21.164, 22.869, 1.705, 940, 22.869, 23.73, 0.86, 5120, 0, 23.73, 24.229, 0.5, 750, 24.229, 25, 0.771, 3072, 0, 25, 25.3, 0.3, 300, 25.3, 25.448, 0.148, 1024, 0, 25.448, 25.548, 0.1, 200, 25.548, 25.56, 0.012, 0, 0,     5.560,
 21, 13, 21, 21, 22.093, 1.093, 9216, 0, 22.093, 23.78, 1.687, 724, 23.78, 24.465, 0.685, 4096, 0, 24.465, 24.874, 0.409, 600, 24.874, 25.513, 0.639, 2048, 0, 25.513, 25.73, 0.217, 200, 25.73, 25.878, 0.148, 1024, 0, 25.878, 25.993, 0.115, 200, 25.993, 26.002, 0.009, 0, 0,     5.002,
 22, 13, 22, 22, 22.912, 0.912, 8192, 0, 22.912, 24.629, 1.717, 680, 24.629, 25.32, 0.691, 4096, 0, 25.32, 25.73, 0.41, 600, 25.73, 26.242, 0.512, 2048, 0, 26.242, 26.436, 0.194, 200, 26.436, 26.591, 0.155, 1024, 0, 26.591, 26.691, 0.1, 200, 26.691, 26.7, 0.008, 0, 0,     4.700,
 23, 13, 23, 23, 23.828, 0.828, 8192, 0, 23.828, 25.468, 1.64, 659, 25.468, 26.153, 0.685, 4096, 0, 26.153, 26.557, 0.404, 600, 26.557, 27.07, 0.513, 2048, 0, 27.07, 27.281, 0.211, 200, 27.281, 27.435, 0.154, 1024, 0, 27.435, 27.535, 0.1, 200, 27.535, 27.544, 0.009, 0, 0,     4.544,
 24, 13, 24, 24, 24.928, 0.928, 9216, 0, 24.928, 26.367, 1.439, 720, 26.367, 27.052, 0.685, 4096, 0, 27.052, 27.455, 0.404, 600, 27.455, 27.968, 0.512, 2048, 0, 27.968, 28.168, 0.2, 200, 28.168, 28.316, 0.148, 1024, 0, 28.316, 28.408, 0.092, 200, 28.408, 28.42, 0.012, 0, 0,     4.420,
 25, 13, 25, 25, 25.825, 0.825, 8192, 0, 25.825, 27.236, 1.41, 696, 27.236, 27.921, 0.685, 4096, 0, 27.921, 28.317, 0.397, 600, 28.317, 28.834, 0.517, 2048, 0, 28.834, 29.025, 0.191, 200, 29.025, 29.181, 0.156, 1024, 0, 29.181, 29.281, 0.1, 200, 29.281, 29.293, 0.012, 0, 0,     4.293,
 26, 13, 26, 26, 26.825, 0.825, 8192, 0, 26.825, 28.131, 1.306, 717, 28.131, 28.816, 0.685, 4096, 0, 28.816, 29.221, 0.405, 600, 29.221, 29.733, 0.512, 2048, 0, 29.733, 29.936, 0.203, 200, 29.936, 30.085, 0.149, 1024, 0, 30.085, 30.185, 0.1, 200, 30.185, 30.197, 0.012, 0, 0,     4.197,
 27, 13, 27, 27, 28.03, 1.03, 10240, 0, 28.03, 29.191, 1.161, 843, 29.191, 30.046, 0.855, 5120, 0, 30.046, 30.564, 0.518, 750, 30.564, 31.333, 0.769, 3072, 0, 31.333, 31.637, 0.304, 300, 31.637, 31.785, 0.148, 1024, 0, 31.785, 31.888, 0.103, 200, 31.888, 31.899, 0.011, 0, 0,     4.899,
 28, 13, 28, 28, 29.156, 1.156, 11264, 0, 29.156, 30.336, 1.18, 917, 30.336, 31.192, 0.855, 5120, 0, 31.192, 31.691, 0.5, 750, 31.691, 32.459, 0.768, 3072, 0, 32.459, 32.773, 0.314, 300, 32.773, 32.921, 0.148, 1024, 0, 32.921, 33.034, 0.112, 200, 33.034, 33.044, 0.011, 0, 0,     5.044,
 29, 13, 29, 29, 30.18, 1.18, 10240, 0, 30.18, 31.409, 1.229, 859, 31.409, 32.265, 0.856, 5120, 0, 32.265, 32.773, 0.508, 750, 32.773, 33.541, 0.768, 3072, 0, 33.541, 33.844, 0.302, 300, 33.844, 33.992, 0.148, 1024, 0, 33.992, 34.092, 0.1, 200, 34.092, 34.099, 0.007, 0, 0,     5.099,
 30, 13, 30, 30, 31, 1, 8192, 0, 31, 32.273, 1.273, 684, 32.273, 32.957, 0.685, 4096, 0, 32.957, 33.351, 0.394, 600, 33.351, 34.055, 0.704, 2048, 0, 34.055, 34.259, 0.204, 200, 34.259, 34.407, 0.148, 1024, 0, 34.407, 34.522, 0.114, 200, 34.522, 34.534, 0.012, 0, 0,     4.534,
 31, 13, 31, 31, 32.132, 1.132, 11264, 0, 32.132, 33.425, 1.292, 922, 33.425, 34.285, 0.86, 5120, 0, 34.285, 34.785, 0.5, 750, 34.785, 35.553, 0.768, 3072, 0, 35.553, 35.855, 0.302, 300, 35.855, 36.003, 0.148, 1024, 0, 36.003, 36.109, 0.106, 200, 36.109, 36.119, 0.01, 0, 0,     5.119,
 32, 13, 32, 32, 32.952, 0.952, 8192, 0, 32.952, 34.259, 1.307, 668, 34.259, 34.967, 0.709, 4096, 0, 34.967, 35.376, 0.408, 600, 35.376, 36.065, 0.69, 2048, 0, 36.065, 36.269, 0.204, 200, 36.269, 36.424, 0.155, 1024, 0, 36.424, 36.524, 0.1, 200, 36.524, 36.536, 0.012, 0, 0,     4.536,
 33, 13, 33, 33, 33.928, 0.928, 9216, 0, 33.928, 35.241, 1.313, 784, 35.241, 35.926, 0.685, 4096, 0, 35.926, 36.319, 0.393, 600, 36.319, 36.831, 0.512, 2048, 0, 36.831, 37.046, 0.215, 200, 37.046, 37.194, 0.148, 1024, 0, 37.194, 37.307, 0.112, 200, 37.307, 37.315, 0.008, 0, 0,     4.315,
 34, 13, 34, 34, 34.928, 0.928, 9216, 0, 34.928, 36.153, 1.226, 727, 36.153, 36.843, 0.69, 4096, 0, 36.843, 37.257, 0.414, 600, 37.257, 37.773, 0.516, 2048, 0, 37.773, 37.964, 0.191, 200, 37.964, 38.114, 0.15, 1024, 0, 38.114, 38.213, 0.099, 200, 38.213, 38.225, 0.012, 0, 0,     4.225,
 35, 13, 35, 35, 35.928, 0.928, 9216, 0, 35.928, 37.097, 1.169, 755, 37.097, 37.785, 0.688, 4096, 0, 37.785, 38.2, 0.415, 600, 38.2, 38.719, 0.519, 2048, 0, 38.719, 38.918, 0.199, 200, 38.918, 39.066, 0.148, 1024, 0, 39.066, 39.174, 0.108, 200, 39.174, 39.177, 0.003, 0, 0,     4.177,
 36, 13, 36, 36, 37.136, 1.136, 11264, 0, 37.136, 38.316, 1.18, 944, 38.316, 39.176, 0.86, 5120, 0, 39.176, 39.682, 0.506, 750, 39.682, 40.458, 0.776, 3072, 0, 40.458, 40.749, 0.291, 300, 40.749, 40.902, 0.153, 1024, 0, 40.902, 41.017, 0.115, 200, 41.017, 41.029, 0.012, 0, 0,     5.029,
 37, 13, 37, 37, 38.262, 1.262, 11264, 0, 38.262, 39.416, 1.154, 881, 39.416, 40.273, 0.857, 5120, 0, 40.273, 40.789, 0.516, 750, 40.789, 41.557, 0.768, 3072, 0, 41.557, 41.859, 0.302, 300, 41.859, 42.008, 0.149, 1024, 0, 42.008, 42.115, 0.107, 200, 42.115, 42.127, 0.012, 0, 0,     5.127,
 38, 13, 38, 38, 39.081, 1.081, 8192, 0, 39.081, 40.251, 1.17, 669, 40.251, 40.956, 0.705, 4096, 0, 40.956, 41.362, 0.406, 600, 41.362, 42.07, 0.708, 2048, 0, 42.07, 42.276, 0.206, 200, 42.276, 42.424, 0.148, 1024, 0, 42.424, 42.524, 0.1, 200, 42.524, 42.536, 0.012, 0, 0,     4.536,
