Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 25, 3, 25, 25, 26.619, 1.619, 17408, 0, 26.619, 28.043, 1.424, 880, 28.043, 29.375, 1.332, 26624, 0, 29.375, 31, 1.625, 3900, 31, 32.276, 1.276, 17408, 0,     7.276,
 26, 3, 26, 26, 27.662, 1.662, 13312, 0, 27.662, 28.952, 1.289, 693, 28.952, 30.281, 1.329, 20480, 0, 30.281, 31.957, 1.676, 3000, 31.957, 33.105, 1.148, 13312, 0,     7.105,
 27, 3, 27, 27, 28.712, 1.712, 14336, 0, 28.712, 29.9, 1.188, 724, 29.9, 31.259, 1.36, 21504, 0, 31.259, 33.008, 1.749, 3150, 33.008, 34.153, 1.145, 14336, 0,     7.153,
 28, 3, 28, 28, 29.702, 1.702, 15360, 0, 29.702, 30.876, 1.175, 753, 30.876, 32.19, 1.314, 22528, 0, 32.19, 34.04, 1.85, 3300, 34.04, 35.188, 1.148, 14336, 0,     7.188,
 29, 3, 29, 29, 30.817, 1.817, 16384, 0, 30.817, 31.997, 1.18, 812, 31.997, 33.354, 1.357, 24576, 0, 33.354, 35.139, 1.785, 3600, 35.139, 36.312, 1.173, 16384, 0,     7.312,
 30, 3, 30, 30, 32.053, 2.053, 16384, 0, 32.053, 33.229, 1.176, 830, 33.229, 34.523, 1.293, 24576, 0, 34.523, 36.189, 1.666, 3600, 36.189, 37.345, 1.156, 16384, 0,     7.345,
 31, 3, 31, 31, 32.976, 1.976, 13312, 0, 32.976, 34.096, 1.12, 658, 34.096, 35.436, 1.34, 19456, 0, 35.436, 37.056, 1.619, 2850, 37.056, 38.178, 1.122, 12288, 0,     7.178,
 32, 3, 32, 32, 34.096, 2.096, 16384, 0, 34.096, 35.149, 1.053, 804, 35.149, 36.468, 1.319, 24576, 0, 36.468, 38.16, 1.692, 3600, 38.16, 39.164, 1.004, 16384, 0,     7.164,
 33, 3, 33, 33, 35.068, 2.068, 15360, 0, 35.068, 36.342, 1.274, 787, 36.342, 37.442, 1.1, 23552, 0, 37.442, 39.18, 1.739, 3450, 39.18, 40.293, 1.113, 15360, 0,     7.293,
 34, 3, 34, 34, 35.973, 1.973, 12288, 0, 35.973, 37.297, 1.324, 623, 37.297, 38.283, 0.986, 18432, 0, 38.283, 39.993, 1.71, 2700, 39.993, 41.044, 1.051, 12288, 0,     7.044,
 35, 3, 35, 35, 36.753, 1.753, 12288, 0, 36.753, 38.128, 1.375, 621, 38.128, 39.087, 0.959, 18432, 0, 39.087, 40.82, 1.734, 2700, 40.82, 41.84, 1.019, 12288, 0,     6.840,
 36, 3, 36, 36, 37.602, 1.602, 13312, 0, 37.602, 38.994, 1.393, 660, 38.994, 39.894, 0.9, 19456, 0, 39.894, 41.671, 1.776, 2850, 41.671, 42.717, 1.046, 12288, 0,     6.717,
 37, 3, 37, 37, 38.716, 1.716, 16384, 0, 38.716, 40.148, 1.432, 842, 40.148, 41.316, 1.168, 25600, 0, 41.316, 42.757, 1.441, 3750, 42.757, 43.798, 1.041, 16384, 0,     6.798,
 38, 3, 38, 38, 39.827, 1.827, 17408, 0, 39.827, 41.365, 1.538, 891, 41.365, 42.506, 1.141, 26624, 0, 42.506, 43.949, 1.443, 3900, 43.949, 45.024, 1.075, 17408, 0,     7.024,
 39, 3, 39, 39, 40.689, 1.689, 13312, 0, 40.689, 42.317, 1.628, 668, 42.317, 43.465, 1.149, 20480, 0, 43.465, 44.912, 1.447, 3000, 44.912, 45.788, 0.876, 13312, 0,     6.788,
 40, 3, 40, 40, 41.806, 1.806, 17408, 0, 41.806, 43.498, 1.691, 881, 43.498, 44.593, 1.095, 26624, 0, 44.593, 46.077, 1.484, 3900, 46.077, 47.439, 1.362, 17408, 0,     7.439,
 41, 3, 41, 41, 42.954, 1.954, 17408, 0, 42.954, 44.754, 1.801, 890, 44.754, 45.878, 1.123, 26624, 0, 45.878, 47.315, 1.437, 3900, 47.315, 48.533, 1.219, 17408, 0,     7.533,
 42, 3, 42, 42, 43.951, 1.951, 16384, 0, 43.951, 45.948, 1.997, 816, 45.948, 47.073, 1.125, 24576, 0, 47.073, 48.437, 1.364, 3600, 48.437, 49.561, 1.123, 16384, 0,     7.561,
 43, 3, 43, 43, 44.941, 1.941, 14336, 0, 44.941, 46.918, 1.977, 708, 46.918, 47.964, 1.045, 21504, 0, 47.964, 49.596, 1.632, 3150, 49.596, 50.541, 0.945, 14336, 0,     7.541,
 44, 3, 44, 44, 46.152, 2.152, 17408, 0, 46.152, 48.054, 1.902, 852, 48.054, 49.156, 1.102, 25600, 0, 49.156, 50.797, 1.641, 3750, 50.797, 51.971, 1.174, 16384, 0,     7.971,
 45, 3, 45, 45, 46.972, 1.972, 13312, 0, 46.972, 49.013, 2.042, 693, 49.013, 50.013, 1, 20480, 0, 50.013, 51.835, 1.821, 3000, 51.835, 52.797, 0.962, 13312, 0,     7.797,
 46, 3, 46, 46, 48.093, 2.093, 16384, 0, 48.093, 50.13, 2.037, 836, 50.13, 51.318, 1.188, 25600, 0, 51.318, 52.955, 1.637, 3750, 52.955, 54.057, 1.102, 16384, 0,     8.057,
 47, 3, 47, 47, 49.064, 2.064, 15360, 0, 49.064, 51.226, 2.162, 783, 51.226, 52.472, 1.246, 23552, 0, 52.472, 54.13, 1.658, 3450, 54.13, 55.227, 1.097, 15360, 0,     8.227,
 48, 3, 48, 48, 50.086, 2.086, 15360, 0, 50.086, 52.273, 2.187, 769, 52.273, 53.526, 1.253, 23552, 0, 53.526, 55.206, 1.681, 3450, 55.206, 56.285, 1.079, 15360, 0,     8.285,
 49, 3, 49, 49, 50.943, 1.943, 12288, 0, 50.943, 53.153, 2.21, 645, 53.153, 54.411, 1.258, 19456, 0, 54.411, 56.086, 1.675, 2850, 56.086, 57.068, 0.982, 12288, 0,     8.068,
 50, 3, 50, 50, 51.992, 1.992, 15360, 0, 51.992, 54.392, 2.4, 798, 54.392, 55.425, 1.033, 23552, 0, 55.425, 57.142, 1.717, 3450, 57.142, 58.077, 0.935, 15360, 0,     8.077,
 51, 3, 51, 51, 53.205, 2.205, 17408, 0, 53.205, 55.622, 2.417, 886, 55.622, 56.847, 1.224, 26624, 0, 56.847, 58.317, 1.47, 3900, 58.317, 59.436, 1.118, 17408, 0,     8.436,
 52, 3, 52, 52, 54.378, 2.378, 16384, 0, 54.378, 56.702, 2.324, 838, 56.702, 57.98, 1.278, 25600, 0, 57.98, 59.448, 1.468, 3750, 59.448, 60.597, 1.149, 16384, 0,     8.597,
 53, 3, 53, 53, 55.242, 2.242, 12288, 0, 55.242, 57.535, 2.294, 635, 57.535, 58.883, 1.348, 19456, 0, 58.883, 60.329, 1.446, 2850, 60.329, 61.424, 1.095, 12288, 0,     8.424,
 54, 3, 54, 54, 56.21, 2.21, 15360, 0, 56.21, 58.521, 2.31, 751, 58.521, 59.819, 1.298, 22528, 0, 59.819, 61.356, 1.538, 3300, 61.356, 62.26, 0.904, 14336, 0,     8.260,
 55, 3, 55, 55, 57.031, 2.031, 13312, 0, 57.031, 59.468, 2.437, 672, 59.468, 60.833, 1.365, 20480, 0, 60.833, 62.34, 1.507, 3000, 62.34, 63.156, 0.815, 13312, 0,     8.156,
 56, 3, 56, 56, 58.056, 2.056, 15360, 0, 58.056, 60.583, 2.527, 761, 60.583, 62.03, 1.447, 22528, 0, 62.03, 63.345, 1.315, 3300, 63.345, 64.331, 0.986, 14336, 0,     8.331,
 57, 3, 57, 57, 58.883, 1.883, 13312, 0, 58.883, 61.521, 2.638, 655, 61.521, 62.996, 1.476, 19456, 0, 62.996, 64.166, 1.17, 2850, 64.166, 65.117, 0.95, 12288, 0,     8.117,
 58, 3, 58, 58, 60.069, 2.069, 16384, 0, 60.069, 62.624, 2.556, 842, 62.624, 64.125, 1.501, 25600, 0, 64.125, 65.248, 1.123, 3750, 65.248, 66.385, 1.136, 16384, 0,     8.385,
 59, 3, 59, 59, 61.253, 2.253, 15360, 0, 61.253, 63.663, 2.409, 762, 63.663, 65.103, 1.44, 22528, 0, 65.103, 66.301, 1.198, 3300, 66.301, 67.254, 0.953, 14336, 0,     8.254,
 60, 3, 60, 60, 62.188, 2.188, 13312, 0, 62.188, 64.737, 2.549, 696, 64.737, 65.972, 1.235, 20480, 0, 65.972, 67.23, 1.258, 3000, 67.23, 68.044, 0.814, 13312, 0,     8.044,
 61, 3, 61, 61, 63.155, 2.155, 15360, 0, 63.155, 65.853, 2.697, 762, 65.853, 67.026, 1.174, 22528, 0, 67.026, 68.233, 1.207, 3300, 68.233, 69.184, 0.95, 14336, 0,     8.184,
 62, 3, 62, 62, 64.002, 2.002, 13312, 0, 64.002, 66.777, 2.775, 683, 66.777, 67.865, 1.088, 20480, 0, 67.865, 69.167, 1.303, 3000, 69.167, 70.057, 0.89, 13312, 0,     8.057,
 63, 3, 63, 63, 64.982, 1.982, 14336, 0, 64.982, 67.71, 2.727, 724, 67.71, 68.756, 1.046, 21504, 0, 68.756, 70.148, 1.392, 3150, 70.148, 71.069, 0.921, 14336, 0,     8.069,
 64, 3, 64, 64, 65.843, 1.843, 12288, 0, 65.843, 68.754, 2.911, 636, 68.754, 69.553, 0.799, 19456, 0, 69.553, 71.059, 1.506, 2850, 71.059, 71.934, 0.875, 12288, 0,     7.934,
 65, 3, 65, 65, 66.905, 1.905, 16384, 0, 66.905, 69.986, 3.081, 807, 69.986, 71.09, 1.103, 24576, 0, 71.09, 72.18, 1.09, 3600, 72.18, 73.386, 1.206, 16384, 0,     8.386,
 66, 3, 66, 66, 67.947, 1.947, 15360, 0, 67.947, 71.085, 3.138, 782, 71.085, 72.199, 1.115, 23552, 0, 72.199, 73.207, 1.007, 3450, 73.207, 74.363, 1.156, 15360, 0,     8.363,
 67, 3, 67, 67, 69.078, 2.078, 17408, 0, 69.078, 72.274, 3.196, 893, 72.274, 73.376, 1.102, 26624, 0, 73.376, 74.495, 1.119, 3900, 74.495, 75.55, 1.055, 17408, 0,     8.550,
 68, 3, 68, 68, 70.206, 2.206, 16384, 0, 70.206, 73.422, 3.216, 813, 73.422, 74.513, 1.091, 24576, 0, 74.513, 75.634, 1.121, 3600, 75.634, 76.585, 0.952, 16384, 0,     8.585,
 69, 3, 69, 69, 71.202, 2.202, 14336, 0, 71.202, 74.469, 3.267, 721, 74.469, 75.531, 1.063, 21504, 0, 75.531, 76.575, 1.044, 3150, 76.575, 77.682, 1.107, 14336, 0,     8.682,
 70, 3, 70, 70, 72.262, 2.262, 16384, 0, 72.262, 75.77, 3.508, 820, 75.77, 76.833, 1.063, 24576, 0, 76.833, 77.965, 1.132, 3600, 77.965, 78.944, 0.979, 16384, 0,     8.944,
 71, 3, 71, 71, 73.069, 2.069, 12288, 0, 73.069, 76.602, 3.533, 612, 76.602, 77.671, 1.069, 18432, 0, 77.671, 78.908, 1.237, 2700, 78.908, 79.757, 0.849, 12288, 0,     8.757,
 72, 3, 72, 72, 74.104, 2.104, 15360, 0, 74.104, 77.843, 3.739, 759, 77.843, 78.782, 0.939, 22528, 0, 78.782, 79.936, 1.154, 3300, 79.936, 81.012, 1.076, 14336, 0,     9.012,
 73, 3, 73, 73, 75.026, 2.026, 13312, 0, 75.026, 78.769, 3.744, 686, 78.769, 79.736, 0.967, 20480, 0, 79.736, 80.885, 1.149, 3000, 80.885, 81.89, 1.005, 13312, 0,     8.890,
 74, 3, 74, 74, 76.022, 2.022, 16384, 0, 76.022, 79.936, 3.914, 818, 79.936, 80.954, 1.018, 24576, 0, 80.954, 82.03, 1.075, 3600, 82.03, 83.161, 1.131, 16384, 0,     9.161,
 75, 3, 75, 75, 77.071, 2.071, 15360, 0, 77.071, 80.952, 3.882, 757, 80.952, 81.88, 0.928, 22528, 0, 81.88, 83.015, 1.135, 3300, 83.015, 84.134, 1.118, 14336, 0,     9.134,
 76, 3, 76, 76, 78.112, 2.112, 15360, 0, 78.112, 82.116, 4.004, 781, 82.116, 83.106, 0.99, 23552, 0, 83.106, 84.205, 1.1, 3450, 84.205, 85.081, 0.876, 15360, 0,     9.081,
 77, 3, 77, 77, 79.198, 2.198, 14336, 0, 79.198, 83.309, 4.111, 736, 83.309, 84.296, 0.987, 22528, 0, 84.296, 85.327, 1.031, 3300, 85.327, 86.178, 0.851, 14336, 0,     9.178,
 78, 3, 78, 78, 80.228, 2.228, 14336, 0, 80.228, 84.441, 4.214, 732, 84.441, 85.392, 0.95, 21504, 0, 85.392, 86.343, 0.951, 3150, 86.343, 87.341, 0.998, 14336, 0,     9.341,
 79, 3, 79, 79, 81.275, 2.275, 16384, 0, 81.275, 85.604, 4.329, 848, 85.604, 86.688, 1.084, 25600, 0, 86.688, 87.86, 1.172, 3750, 87.86, 88.799, 0.939, 16384, 0,     9.799,
 80, 3, 80, 80, 82.253, 2.253, 14336, 0, 82.253, 86.545, 4.291, 723, 86.545, 87.584, 1.039, 21504, 0, 87.584, 88.803, 1.219, 3150, 88.803, 89.772, 0.969, 14336, 0,     9.772,
 81, 3, 81, 81, 83.026, 2.026, 12288, 0, 83.026, 87.387, 4.362, 641, 87.387, 88.451, 1.064, 19456, 0, 88.451, 89.685, 1.234, 2850, 89.685, 90.63, 0.945, 12288, 0,     9.630,
 82, 3, 82, 82, 83.996, 1.996, 15360, 0, 83.996, 88.387, 4.391, 764, 88.387, 89.495, 1.107, 22528, 0, 89.495, 90.946, 1.451, 3300, 90.946, 91.857, 0.911, 14336, 0,     9.857,
 83, 3, 83, 83, 85.128, 2.128, 16384, 0, 85.128, 89.511, 4.383, 806, 89.511, 90.536, 1.025, 24576, 0, 90.536, 92.223, 1.687, 3600, 92.223, 93.203, 0.98, 16384, 0,    10.203,
 84, 3, 84, 84, 86.148, 2.148, 15360, 0, 86.148, 90.724, 4.575, 794, 90.724, 91.787, 1.063, 23552, 0, 91.787, 93.263, 1.476, 3450, 93.263, 94.143, 0.88, 15360, 0,    10.143,
 85, 3, 85, 85, 87.267, 2.267, 16384, 0, 87.267, 91.869, 4.601, 812, 91.869, 93.073, 1.205, 24576, 0, 93.073, 94.361, 1.287, 3600, 94.361, 95.507, 1.147, 16384, 0,    10.507,
 86, 3, 86, 86, 88.336, 2.336, 17408, 0, 88.336, 93.088, 4.752, 884, 93.088, 94.239, 1.152, 26624, 0, 94.239, 95.482, 1.243, 3900, 95.482, 96.725, 1.243, 17408, 0,    10.725,
 87, 3, 87, 87, 89.439, 2.439, 16384, 0, 89.439, 94.119, 4.68, 805, 94.119, 95.293, 1.174, 24576, 0, 95.293, 96.561, 1.268, 3600, 96.561, 97.764, 1.203, 16384, 0,    10.764,
 88, 3, 88, 88, 90.4, 2.4, 13312, 0, 90.4, 94.961, 4.561, 654, 94.961, 96.157, 1.196, 19456, 0, 96.157, 97.457, 1.301, 2850, 97.457, 98.517, 1.06, 12288, 0,    10.517,
 89, 3, 89, 89, 91.24, 2.24, 12288, 0, 91.24, 95.86, 4.619, 616, 95.86, 96.895, 1.036, 18432, 0, 96.895, 98.306, 1.411, 2700, 98.306, 99.235, 0.929, 12288, 0,    10.235,
 90, 3, 90, 90, 92.373, 2.373, 16384, 0, 92.373, 97.09, 4.717, 849, 97.09, 98.156, 1.066, 25600, 0, 98.156, 99.465, 1.309, 3750, 99.465, 100.581, 1.116, 16384, 0,    10.581,
 91, 3, 91, 91, 93.504, 2.504, 17408, 0, 93.504, 98.286, 4.782, 873, 98.286, 99.424, 1.138, 26624, 0, 99.424, 100.686, 1.262, 3900, 100.686, 101.998, 1.312, 17408, 0,    10.998,
 92, 3, 92, 92, 94.383, 2.383, 13312, 0, 94.383, 99.209, 4.825, 675, 99.209, 100.328, 1.12, 20480, 0, 100.328, 101.668, 1.339, 3000, 101.668, 102.857, 1.189, 13312, 0,    10.857,
 93, 3, 93, 93, 95.502, 2.502, 17408, 0, 95.502, 100.501, 4.999, 863, 100.501, 101.553, 1.052, 25600, 0, 101.553, 102.825, 1.272, 3750, 102.825, 103.839, 1.014, 16384, 0,    10.839,
 94, 3, 94, 94, 96.552, 2.552, 16384, 0, 96.552, 101.718, 5.166, 839, 101.718, 102.903, 1.185, 25600, 0, 102.903, 103.982, 1.079, 3750, 103.982, 104.964, 0.981, 16384, 0,    10.964,
 95, 3, 95, 95, 97.612, 2.612, 15360, 0, 97.612, 102.887, 5.274, 788, 102.887, 103.957, 1.07, 23552, 0, 103.957, 105.109, 1.152, 3450, 105.109, 106.113, 1.004, 15360, 0,    11.113,
 96, 3, 96, 96, 98.738, 2.738, 16384, 0, 98.738, 103.982, 5.244, 811, 103.982, 105.099, 1.117, 24576, 0, 105.099, 106.38, 1.281, 3600, 106.38, 107.537, 1.157, 16384, 0,    11.537,
 97, 3, 97, 97, 99.944, 2.944, 17408, 0, 99.944, 105.184, 5.239, 873, 105.184, 106.404, 1.22, 26624, 0, 106.404, 107.644, 1.241, 3900, 107.644, 108.797, 1.153, 17408, 0,    11.797,
 98, 3, 98, 98, 101.153, 3.153, 15360, 0, 101.153, 106.228, 5.075, 784, 106.228, 107.444, 1.216, 23552, 0, 107.444, 108.695, 1.251, 3450, 108.695, 109.77, 1.076, 15360, 0,    11.770,
 99, 3, 99, 99, 102.267, 3.267, 15360, 0, 102.267, 107.34, 5.072, 781, 107.34, 108.517, 1.177, 23552, 0, 108.517, 109.818, 1.301, 3450, 109.818, 110.852, 1.035, 15360, 0,    11.852,
 100, 3, 100, 100, 103.227, 3.227, 12288, 0, 103.227, 108.216, 4.99, 638, 108.216, 109.387, 1.171, 19456, 0, 109.387, 110.723, 1.336, 2850, 110.723, 111.654, 0.931, 12288, 0,    11.654,
 101, 3, 101, 101, 103.995, 2.995, 12288, 0, 103.995, 109.073, 5.078, 643, 109.073, 110.305, 1.231, 19456, 0, 110.305, 111.679, 1.374, 2850, 111.679, 112.407, 0.728, 12288, 0,    11.407,
 102, 3, 102, 102, 105.174, 3.174, 15360, 0, 105.174, 110.102, 4.929, 775, 110.102, 111.253, 1.151, 23552, 0, 111.253, 112.86, 1.607, 3450, 112.86, 114.147, 1.287, 15360, 0,    12.147,
 103, 3, 103, 103, 106.358, 3.358, 15360, 0, 106.358, 111.195, 4.838, 752, 111.195, 112.356, 1.16, 22528, 0, 112.356, 113.868, 1.513, 3300, 113.868, 115.04, 1.172, 14336, 0,    12.040,
 104, 3, 104, 104, 107.328, 3.328, 14336, 0, 107.328, 112.17, 4.842, 733, 112.17, 113.341, 1.171, 22528, 0, 113.341, 114.851, 1.51, 3300, 114.851, 115.881, 1.03, 14336, 0,    11.881,
 105, 3, 105, 105, 108.393, 3.393, 14336, 0, 108.393, 113.117, 4.723, 719, 113.117, 114.261, 1.145, 21504, 0, 114.261, 115.846, 1.585, 3150, 115.846, 116.798, 0.952, 14336, 0,    11.798,
 106, 3, 106, 106, 109.737, 3.737, 17408, 0, 109.737, 114.304, 4.566, 895, 114.304, 115.582, 1.278, 26624, 0, 115.582, 117.066, 1.484, 3900, 117.066, 118.109, 1.043, 17408, 0,    12.109,
 107, 3, 107, 107, 110.725, 3.725, 12288, 0, 110.725, 115.239, 4.514, 606, 115.239, 116.339, 1.101, 18432, 0, 116.339, 117.885, 1.546, 2700, 117.885, 119.002, 1.117, 12288, 0,    12.002,
 108, 3, 108, 108, 111.679, 3.679, 13312, 0, 111.679, 116.131, 4.452, 677, 116.131, 117.35, 1.218, 20480, 0, 117.35, 118.857, 1.507, 3000, 118.857, 119.805, 0.949, 13312, 0,    11.805,
 109, 3, 109, 109, 112.769, 3.769, 16384, 0, 112.769, 117.397, 4.628, 802, 117.397, 118.469, 1.073, 24576, 0, 118.469, 120.024, 1.555, 3600, 120.024, 121.161, 1.137, 16384, 0,    12.161,
 110, 3, 110, 110, 113.901, 3.901, 17408, 0, 113.901, 118.722, 4.821, 881, 118.722, 119.832, 1.111, 26624, 0, 119.832, 121.187, 1.354, 3900, 121.187, 122.214, 1.027, 17408, 0,    12.214,
 111, 3, 111, 111, 115.058, 4.058, 17408, 0, 115.058, 120.059, 5.001, 894, 120.059, 121.145, 1.086, 26624, 0, 121.145, 122.421, 1.276, 3900, 122.421, 123.624, 1.203, 17408, 0,    12.624,
 112, 3, 112, 112, 116.248, 4.248, 17408, 0, 116.248, 121.285, 5.037, 887, 121.285, 122.677, 1.392, 26624, 0, 122.677, 123.867, 1.19, 3900, 123.867, 124.995, 1.128, 17408, 0,    12.995,
 113, 3, 113, 113, 117.228, 4.228, 14336, 0, 117.228, 122.431, 5.203, 727, 122.431, 123.647, 1.216, 21504, 0, 123.647, 124.833, 1.186, 3150, 124.833, 125.906, 1.073, 14336, 0,    12.906,
 114, 3, 114, 114, 118.15, 4.15, 13312, 0, 118.15, 123.434, 5.284, 681, 123.434, 124.507, 1.074, 20480, 0, 124.507, 125.724, 1.217, 3000, 125.724, 126.755, 1.031, 13312, 0,    12.755,
 115, 3, 115, 115, 119.041, 4.041, 13312, 0, 119.041, 124.35, 5.309, 688, 124.35, 125.516, 1.166, 20480, 0, 125.516, 126.651, 1.135, 3000, 126.651, 127.611, 0.96, 13312, 0,    12.611,
