Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 557, 0, 0, 0.859, 0.859, 10240, 0, 0.859, 2.64, 1.781, 1062, 2.64, 3.437, 0.797, 10240, 0, 3.437, 5.104, 1.667, 1500, 5.104, 5.823, 0.719, 7168, 0, 5.823, 7.388, 1.566, 1050, 7.388, 8.099, 0.711, 9216, 0,     8.099,
 1, 557, 1, 1, 2.04, 1.04, 12288, 0, 2.04, 4.115, 2.075, 1242, 4.115, 5.062, 0.947, 12288, 0, 5.062, 7.058, 1.996, 1800, 7.058, 7.982, 0.924, 9216, 0, 7.982, 9.98, 1.999, 1350, 9.98, 10.928, 0.947, 12288, 0,     9.928,
 2, 557, 2, 2, 3.064, 1.064, 12288, 0, 3.064, 5.144, 2.08, 1249, 5.144, 6.091, 0.948, 12288, 0, 6.091, 8.09, 1.998, 1800, 8.09, 9.014, 0.924, 9216, 0, 9.014, 11.019, 2.005, 1350, 11.019, 11.966, 0.947, 12288, 0,     9.966,
 4, 557, 4, 4, 4.951, 0.951, 9216, 0, 4.951, 6.796, 1.845, 992, 6.796, 8.109, 1.313, 9216, 0, 8.109, 9.606, 1.497, 1350, 9.606, 11.108, 1.503, 6144, 0, 11.108, 12.441, 1.333, 900, 12.441, 13.074, 0.632, 8192, 0,     9.074,
 3, 557, 3, 3, 4.183, 1.183, 13312, 0, 4.183, 6.373, 2.19, 1315, 6.373, 7.399, 1.026, 13312, 0, 7.399, 9.566, 2.167, 1950, 9.566, 10.494, 0.928, 9216, 0, 10.494, 12.493, 1.999, 1350, 12.493, 14.024, 1.532, 12288, 0,    11.024,
 5, 557, 5, 5, 6.033, 1.033, 12288, 0, 6.033, 8.514, 2.481, 1281, 8.514, 9.468, 0.954, 12288, 0, 9.468, 11.569, 2.101, 1800, 11.569, 12.493, 0.923, 9216, 0, 12.493, 14.496, 2.003, 1350, 14.496, 15.444, 0.947, 12288, 0,    10.444,
 6, 557, 6, 6, 7.228, 1.228, 14336, 0, 7.228, 9.622, 2.394, 1429, 9.622, 10.727, 1.105, 14336, 0, 10.727, 13.057, 2.33, 2100, 13.057, 14.085, 1.028, 10240, 0, 14.085, 16.324, 2.239, 1500, 16.324, 17.35, 1.026, 13312, 0,    11.350,
 7, 557, 7, 7, 8.252, 1.252, 12288, 0, 8.252, 10.611, 2.359, 1251, 10.611, 11.672, 1.061, 12288, 0, 11.672, 13.672, 2, 1800, 13.672, 15.017, 1.345, 9216, 0, 15.017, 17.016, 1.999, 1350, 17.016, 18.297, 1.282, 12288, 0,    11.297,
 8, 557, 8, 8, 9.196, 1.196, 11264, 0, 9.196, 11.483, 2.287, 1117, 11.483, 12.54, 1.057, 11264, 0, 12.54, 14.893, 2.354, 1650, 14.893, 15.836, 0.942, 8192, 0, 15.836, 18.112, 2.276, 1200, 18.112, 19.085, 0.973, 10240, 0,    11.085,
 9, 557, 9, 9, 10.22, 1.22, 12288, 0, 10.22, 12.675, 2.455, 1234, 12.675, 13.629, 0.954, 12288, 0, 13.629, 15.677, 2.047, 1800, 15.677, 16.758, 1.081, 9216, 0, 16.758, 19.015, 2.258, 1350, 19.015, 20.031, 1.015, 12288, 0,    11.031,
 10, 557, 10, 10, 11.248, 1.248, 12288, 0, 11.248, 13.527, 2.279, 1222, 13.527, 14.575, 1.047, 12288, 0, 14.575, 16.903, 2.329, 1800, 16.903, 17.834, 0.931, 9216, 0, 17.834, 20.11, 2.277, 1350, 20.11, 21.066, 0.956, 12288, 0,    11.066,
 11, 557, 11, 11, 12.108, 1.108, 10240, 0, 12.108, 14.372, 2.264, 1013, 14.372, 15.362, 0.99, 10240, 0, 15.362, 17.343, 1.98, 1500, 17.343, 18.551, 1.208, 7168, 0, 18.551, 20.577, 2.026, 1050, 20.577, 21.775, 1.199, 9216, 0,    10.775,
 12, 557, 12, 12, 13.133, 1.133, 12288, 0, 13.133, 15.657, 2.524, 1274, 15.657, 16.609, 0.953, 12288, 0, 16.609, 18.902, 2.293, 1800, 18.902, 19.826, 0.924, 9216, 0, 19.826, 22.11, 2.284, 1350, 22.11, 23.057, 0.947, 12288, 0,    11.057,
 13, 557, 13, 13, 13.989, 0.989, 10240, 0, 13.989, 16.119, 2.13, 1047, 16.119, 17.405, 1.287, 10240, 0, 17.405, 19.08, 1.675, 1500, 19.08, 20.548, 1.468, 7168, 0, 20.548, 22.138, 1.589, 1050, 22.138, 23.768, 1.63, 9216, 0,    10.768,
 14, 557, 14, 14, 14.954, 0.954, 11264, 0, 14.954, 17.641, 2.687, 1187, 17.641, 18.517, 0.876, 11264, 0, 18.517, 20.738, 2.221, 1650, 20.738, 21.56, 0.822, 8192, 0, 21.56, 23.889, 2.329, 1200, 23.889, 24.684, 0.795, 10240, 0,    10.684,
 15, 557, 15, 15, 16.119, 1.119, 13312, 0, 16.119, 18.338, 2.219, 1332, 18.338, 19.543, 1.205, 13312, 0, 19.543, 21.709, 2.167, 1950, 21.709, 22.633, 0.923, 9216, 0, 22.633, 24.634, 2.001, 1350, 24.634, 25.631, 0.998, 12288, 0,    10.631,
 16, 557, 16, 16, 17.143, 1.143, 12288, 0, 17.143, 19.781, 2.637, 1276, 19.781, 20.728, 0.948, 12288, 0, 20.728, 22.743, 2.014, 1800, 22.743, 23.666, 0.924, 9216, 0, 23.666, 25.889, 2.223, 1350, 25.889, 26.843, 0.954, 12288, 0,    10.843,
 17, 557, 17, 17, 18.254, 1.254, 13312, 0, 18.254, 20.515, 2.261, 1307, 20.515, 21.757, 1.242, 13312, 0, 21.757, 23.927, 2.17, 1950, 23.927, 24.851, 0.924, 9216, 0, 24.851, 26.854, 2.003, 1350, 26.854, 27.802, 0.948, 12288, 0,    10.802,
 18, 557, 18, 18, 19.279, 1.279, 12288, 0, 19.279, 21.789, 2.51, 1206, 21.789, 22.743, 0.954, 12288, 0, 22.743, 24.744, 2.001, 1800, 24.744, 25.779, 1.035, 9216, 0, 25.779, 27.894, 2.115, 1350, 27.894, 28.846, 0.952, 12288, 0,    10.846,
 19, 557, 19, 19, 20.388, 1.388, 13312, 0, 20.388, 22.76, 2.371, 1343, 22.76, 23.786, 1.026, 13312, 0, 23.786, 26.106, 2.321, 1950, 26.106, 27.031, 0.925, 9216, 0, 27.031, 29.033, 2.002, 1350, 29.033, 29.983, 0.949, 12288, 0,    10.983,
