Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 0.937, 0.937, 13312, 0, 0.937, 2.142, 1.205, 664, 2.142, 3.017, 0.874, 19456, 0, 3.017, 3.927, 0.91, 1520, 3.927, 4.732, 0.806, 9216, 0, 4.732, 5.574, 0.842, 1350, 5.574, 6.414, 0.84, 6144, 0, 6.414, 7.317, 0.903, 1200, 7.317, 7.736, 0.419, 5120, 0,     7.736,
 1, 0, 1, 1, 2.088, 1.088, 15360, 0, 2.088, 3.173, 1.085, 761, 3.173, 4.087, 0.914, 22528, 0, 4.087, 5.219, 1.132, 1760, 5.219, 6.388, 1.169, 11264, 0, 6.388, 7.444, 1.057, 1650, 7.444, 8.344, 0.899, 7168, 0, 8.344, 9.545, 1.201, 1400, 9.545, 9.966, 0.421, 5120, 0,     8.966,
 2, 0, 2, 2, 2.714, 0.714, 10240, 0, 2.714, 3.907, 1.193, 544, 3.907, 4.888, 0.981, 16384, 0, 4.888, 6.057, 1.17, 1280, 6.057, 7.074, 1.016, 8192, 0, 7.074, 8.133, 1.06, 1200, 8.133, 8.924, 0.791, 5120, 0, 8.924, 10.203, 1.279, 1000, 10.203, 10.512, 0.309, 4096, 0,     8.512,
 3, 0, 3, 3, 3.835, 0.835, 12288, 0, 3.835, 4.793, 0.959, 606, 4.793, 5.708, 0.914, 18432, 0, 5.708, 6.816, 1.109, 1440, 6.816, 7.796, 0.98, 9216, 0, 7.796, 9.071, 1.275, 1350, 9.071, 9.76, 0.689, 6144, 0, 9.76, 11.13, 1.37, 1200, 11.13, 11.624, 0.495, 5120, 0,     8.624,
 4, 0, 4, 4, 4.984, 0.984, 13312, 0, 4.984, 5.869, 0.885, 670, 5.869, 6.873, 1.004, 20480, 0, 6.873, 7.873, 1, 1600, 7.873, 8.67, 0.797, 10240, 0, 8.67, 9.932, 1.261, 1500, 9.932, 10.667, 0.735, 6144, 0, 10.667, 11.941, 1.275, 1200, 11.941, 12.593, 0.652, 5120, 0,     8.593,
 5, 0, 5, 5, 6.028, 1.028, 12288, 0, 6.028, 6.916, 0.889, 642, 6.916, 7.983, 1.066, 19456, 0, 7.983, 9.016, 1.033, 1520, 9.016, 9.911, 0.895, 9216, 0, 9.911, 10.848, 0.938, 1350, 10.848, 11.555, 0.707, 6144, 0, 11.555, 12.86, 1.305, 1200, 12.86, 13.245, 0.385, 5120, 0,     8.245,
 6, 0, 6, 6, 6.744, 0.744, 11264, 0, 6.744, 7.633, 0.889, 551, 7.633, 8.795, 1.162, 16384, 0, 8.795, 9.72, 0.924, 1280, 9.72, 10.583, 0.863, 8192, 0, 10.583, 11.725, 1.142, 1200, 11.725, 12.525, 0.8, 5120, 0, 12.525, 13.714, 1.189, 1000, 13.714, 14.06, 0.346, 4096, 0,     8.060,
 7, 0, 7, 7, 7.846, 0.846, 11264, 0, 7.846, 8.57, 0.725, 550, 8.57, 9.453, 0.883, 16384, 0, 9.453, 10.588, 1.135, 1280, 10.588, 11.226, 0.638, 8192, 0, 11.226, 12.499, 1.273, 1200, 12.499, 13.235, 0.736, 5120, 0, 13.235, 14.532, 1.298, 1000, 14.532, 14.873, 0.341, 4096, 0,     7.873,
 8, 0, 8, 8, 8.764, 0.764, 11264, 0, 8.764, 9.596, 0.832, 558, 9.596, 10.243, 0.647, 16384, 0, 10.243, 11.541, 1.298, 1280, 11.541, 12.173, 0.632, 8192, 0, 12.173, 13.167, 0.994, 1200, 13.167, 13.913, 0.746, 5120, 0, 13.913, 15.225, 1.312, 1000, 15.225, 15.594, 0.369, 4096, 0,     7.594,
 9, 0, 9, 9, 10.253, 1.253, 14336, 0, 10.253, 11.276, 1.023, 714, 11.276, 12.222, 0.946, 21504, 0, 12.222, 13.105, 0.883, 1680, 13.105, 14.093, 0.988, 10240, 0, 14.093, 15.407, 1.314, 1500, 15.407, 16.151, 0.744, 6144, 0, 16.151, 17.268, 1.117, 1200, 17.268, 17.645, 0.377, 5120, 0,     8.645,
