Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 18, 88, 18, 18, 18.966, 0.966, 11264, 0, 18.966, 21.23, 2.265, 1145, 21.23, 22.163, 0.933, 11264, 0, 22.163, 24.545, 2.382, 1650, 24.545, 25.364, 0.819, 8192, 0, 25.364, 27.653, 2.289, 1200, 27.653, 28.566, 0.913, 10240, 0,    10.566,
 19, 88, 19, 19, 20.119, 1.119, 13312, 0, 20.119, 22.421, 2.302, 1359, 22.421, 23.447, 1.026, 13312, 0, 23.447, 25.643, 2.196, 1950, 25.643, 26.565, 0.922, 9216, 0, 26.565, 28.771, 2.205, 1350, 28.771, 29.716, 0.945, 12288, 0,    10.716,
 20, 88, 20, 20, 21.057, 1.057, 11264, 0, 21.057, 23.167, 2.11, 1163, 23.167, 24.314, 1.146, 11264, 0, 24.314, 26.392, 2.078, 1650, 26.392, 27.385, 0.993, 8192, 0, 27.385, 29.439, 2.054, 1200, 29.439, 30.505, 1.066, 10240, 0,    10.505,
 21, 88, 21, 21, 22.254, 1.254, 14336, 0, 22.254, 24.794, 2.539, 1424, 24.794, 25.9, 1.107, 14336, 0, 25.9, 28.233, 2.332, 2100, 28.233, 29.256, 1.024, 10240, 0, 29.256, 31.487, 2.231, 1500, 31.487, 32.512, 1.024, 13312, 0,    11.512,
 22, 88, 22, 22, 23.364, 1.364, 13312, 0, 23.364, 25.626, 2.262, 1355, 25.626, 26.934, 1.308, 13312, 0, 26.934, 29.095, 2.161, 1950, 29.095, 30.184, 1.088, 9216, 0, 30.184, 32.188, 2.004, 1350, 32.188, 33.457, 1.269, 12288, 0,    11.457,
 23, 88, 23, 23, 24.473, 1.473, 13312, 0, 24.473, 27.092, 2.619, 1380, 27.092, 28.121, 1.029, 13312, 0, 28.121, 30.408, 2.286, 1950, 30.408, 31.335, 0.928, 9216, 0, 31.335, 33.495, 2.16, 1350, 33.495, 34.441, 0.946, 12288, 0,    11.441,
 24, 88, 24, 24, 25.583, 1.583, 13312, 0, 25.583, 27.828, 2.246, 1321, 27.828, 29.145, 1.317, 13312, 0, 29.145, 31.306, 2.161, 1950, 31.306, 32.257, 0.951, 9216, 0, 32.257, 34.267, 2.01, 1350, 34.267, 35.386, 1.119, 12288, 0,    11.386,
 25, 88, 25, 25, 26.692, 1.692, 13312, 0, 26.692, 29.27, 2.578, 1303, 29.27, 30.296, 1.026, 13312, 0, 30.296, 32.589, 2.293, 1950, 32.589, 33.511, 0.922, 9216, 0, 33.511, 35.509, 1.997, 1350, 35.509, 36.454, 0.945, 12288, 0,    11.454,
 26, 88, 26, 26, 27.633, 1.633, 11264, 0, 27.633, 29.696, 2.062, 1118, 29.696, 31.169, 1.473, 11264, 0, 31.169, 33.15, 1.981, 1650, 33.15, 34.331, 1.181, 8192, 0, 34.331, 36.112, 1.782, 1200, 36.112, 37.242, 1.129, 10240, 0,    11.242,
 27, 88, 27, 27, 28.572, 1.572, 11264, 0, 28.572, 31.186, 2.613, 1147, 31.186, 32.054, 0.868, 11264, 0, 32.054, 34.428, 2.374, 1650, 34.428, 35.25, 0.822, 8192, 0, 35.25, 37.294, 2.044, 1200, 37.294, 38.081, 0.788, 10240, 0,    11.081,
 28, 88, 28, 28, 29.767, 1.767, 14336, 0, 29.767, 32.168, 2.401, 1432, 32.168, 33.273, 1.105, 14336, 0, 33.273, 35.612, 2.339, 2100, 35.612, 36.64, 1.029, 10240, 0, 36.64, 38.855, 2.214, 1500, 38.855, 39.879, 1.024, 13312, 0,    11.879,
 29, 88, 29, 29, 30.876, 1.876, 13312, 0, 30.876, 33.423, 2.547, 1335, 33.423, 34.453, 1.03, 13312, 0, 34.453, 36.619, 2.166, 1950, 36.619, 37.562, 0.943, 9216, 0, 37.562, 39.567, 2.006, 1350, 39.567, 40.824, 1.257, 12288, 0,    11.824,
 30, 88, 30, 30, 31.821, 1.821, 11264, 0, 31.821, 34.097, 2.276, 1153, 34.097, 35.319, 1.222, 11264, 0, 35.319, 37.448, 2.129, 1650, 37.448, 38.389, 0.941, 8192, 0, 38.389, 40.638, 2.249, 1200, 40.638, 41.612, 0.974, 10240, 0,    11.612,
 31, 88, 31, 31, 32.674, 1.674, 10240, 0, 32.674, 35.237, 2.563, 1086, 35.237, 36.114, 0.878, 10240, 0, 36.114, 38.285, 2.171, 1500, 38.285, 39.106, 0.821, 7168, 0, 39.106, 41.123, 2.017, 1050, 41.123, 42.321, 1.198, 9216, 0,    11.321,
 32, 88, 32, 32, 33.527, 1.527, 10240, 0, 33.527, 35.911, 2.384, 1089, 35.911, 36.902, 0.991, 10240, 0, 36.902, 39.122, 2.22, 1500, 39.122, 39.839, 0.717, 7168, 0, 39.839, 42.196, 2.357, 1050, 42.196, 43.03, 0.834, 9216, 0,    11.030,
 33, 88, 33, 33, 34.551, 1.551, 12288, 0, 34.551, 37.324, 2.772, 1249, 37.324, 38.271, 0.947, 12288, 0, 38.271, 40.288, 2.018, 1800, 40.288, 41.21, 0.922, 9216, 0, 41.21, 43.202, 1.992, 1350, 43.202, 44.149, 0.946, 12288, 0,    11.149,
 34, 88, 34, 34, 35.661, 1.661, 13312, 0, 35.661, 38.153, 2.492, 1342, 38.153, 39.295, 1.142, 13312, 0, 39.295, 41.461, 2.167, 1950, 41.461, 42.383, 0.922, 9216, 0, 42.383, 44.387, 2.004, 1350, 44.387, 45.34, 0.952, 12288, 0,    11.340,
 35, 88, 35, 35, 36.599, 1.599, 11264, 0, 36.599, 39.2, 2.601, 1122, 39.2, 40.161, 0.961, 11264, 0, 40.161, 42.129, 1.968, 1650, 42.129, 43.202, 1.073, 8192, 0, 43.202, 44.981, 1.779, 1200, 44.981, 46.128, 1.146, 10240, 0,    11.128,
