Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 39, 84, 39, 39, 40.338, 1.338, 13312, 0, 40.338, 43.599, 3.261, 1399, 43.599, 45.145, 1.546, 13312, 0,     6.145,
 41, 84, 41, 41, 42.301, 1.301, 13312, 0, 42.301, 45.509, 3.209, 1331, 45.509, 46.545, 1.036, 13312, 0,     5.545,
 42, 84, 42, 42, 43.24, 1.24, 11264, 0, 43.24, 45.594, 2.354, 1194, 45.594, 47.411, 1.817, 11264, 0,     5.411,
 44, 84, 44, 44, 45.129, 1.129, 10240, 0, 45.129, 47.279, 2.15, 1010, 47.279, 48.199, 0.921, 10240, 0,     4.199,
 43, 84, 43, 43, 44.268, 1.268, 12288, 0, 44.268, 47.679, 3.41, 1297, 47.679, 49.144, 1.466, 12288, 0,     6.144,
 45, 84, 45, 45, 46.153, 1.153, 12288, 0, 46.153, 49.293, 3.14, 1207, 49.293, 50.24, 0.947, 12288, 0,     5.240,
 46, 84, 46, 46, 47.184, 1.184, 12288, 0, 47.184, 49.732, 2.547, 1227, 49.732, 51.19, 1.458, 12288, 0,     5.190,
 47, 84, 47, 47, 48.208, 1.208, 12288, 0, 48.208, 51.33, 3.121, 1223, 51.33, 52.278, 0.949, 12288, 0,     5.278,
 48, 84, 48, 48, 49.062, 1.062, 10240, 0, 49.062, 51.557, 2.495, 1096, 51.557, 53.066, 1.509, 10240, 0,     5.066,
 50, 84, 50, 50, 50.869, 0.869, 10240, 0, 50.869, 53.255, 2.387, 1018, 53.255, 54.053, 0.797, 10240, 0,     4.053,
 49, 84, 49, 49, 50.001, 1.001, 11264, 0, 50.001, 53.295, 3.295, 1176, 53.295, 54.92, 1.625, 11264, 0,     5.920,
 51, 84, 51, 51, 51.859, 0.859, 10240, 0, 51.859, 54.96, 3.101, 1017, 54.96, 55.75, 0.79, 10240, 0,     4.750,
 52, 84, 52, 52, 53.201, 1.201, 14336, 0, 53.201, 55.675, 2.474, 1425, 55.675, 56.858, 1.183, 14336, 0,     4.858,
 53, 84, 53, 53, 53.972, 0.972, 9216, 0, 53.972, 56.591, 2.619, 977, 56.591, 57.567, 0.977, 9216, 0,     4.567,
 54, 84, 54, 54, 54.859, 0.859, 10240, 0, 54.859, 57.454, 2.595, 1061, 57.454, 58.355, 0.901, 10240, 0,     4.355,
 55, 84, 55, 55, 56.033, 1.033, 12288, 0, 56.033, 58.682, 2.649, 1251, 58.682, 59.629, 0.947, 12288, 0,     4.629,
 56, 84, 56, 56, 56.804, 0.804, 9216, 0, 56.804, 59.133, 2.329, 998, 59.133, 60.338, 1.206, 9216, 0,     4.338,
 57, 84, 57, 57, 57.947, 0.947, 11264, 0, 57.947, 60.626, 2.678, 1157, 60.626, 61.494, 0.869, 11264, 0,     4.494,
 58, 84, 58, 58, 58.947, 0.947, 11264, 0, 58.947, 61.056, 2.109, 1155, 61.056, 62.368, 1.312, 11264, 0,     4.368,
 59, 84, 59, 59, 59.945, 0.945, 11264, 0, 59.945, 62.548, 2.603, 1147, 62.548, 63.427, 0.879, 11264, 0,     4.427,
 60, 84, 60, 60, 61.03, 1.03, 12288, 0, 61.03, 63.092, 2.062, 1222, 63.092, 64.372, 1.279, 12288, 0,     4.372,
 61, 84, 61, 61, 62.054, 1.054, 12288, 0, 62.054, 64.562, 2.508, 1209, 64.562, 65.517, 0.955, 12288, 0,     4.517,
 62, 84, 62, 62, 63.164, 1.164, 13312, 0, 63.164, 65.488, 2.324, 1391, 65.488, 66.541, 1.053, 13312, 0,     4.541,
 63, 84, 63, 63, 64.103, 1.103, 11264, 0, 64.103, 66.513, 2.41, 1170, 66.513, 67.411, 0.898, 11264, 0,     4.411,
 64, 84, 64, 64, 65.041, 1.041, 11264, 0, 65.041, 67.474, 2.433, 1192, 67.474, 68.343, 0.869, 11264, 0,     4.343,
 65, 84, 65, 65, 65.894, 0.894, 10240, 0, 65.894, 68.344, 2.449, 1099, 68.344, 69.137, 0.794, 10240, 0,     4.137,
 66, 84, 66, 66, 66.947, 0.947, 11264, 0, 66.947, 69.402, 2.456, 1152, 69.402, 70.271, 0.868, 11264, 0,     4.271,
 67, 84, 67, 67, 68.03, 1.03, 12288, 0, 68.03, 70.37, 2.34, 1217, 70.37, 71.318, 0.947, 12288, 0,     4.318,
 68, 84, 68, 68, 69.139, 1.139, 13312, 0, 69.139, 71.709, 2.57, 1378, 71.709, 72.737, 1.027, 13312, 0,     4.737,
 69, 84, 69, 69, 69.992, 0.992, 10240, 0, 69.992, 72.09, 2.097, 1021, 72.09, 73.524, 1.435, 10240, 0,     4.524,
 70, 84, 70, 70, 71.115, 1.115, 13312, 0, 71.115, 73.939, 2.824, 1329, 73.939, 74.965, 1.026, 13312, 0,     4.965,
 71, 84, 71, 71, 72.146, 1.146, 12288, 0, 72.146, 74.216, 2.071, 1238, 74.216, 75.91, 1.694, 12288, 0,     4.910,
 72, 84, 72, 72, 73.084, 1.084, 11264, 0, 73.084, 75.827, 2.742, 1129, 75.827, 76.777, 0.95, 11264, 0,     4.777,
 73, 84, 73, 73, 74.108, 1.108, 12288, 0, 74.108, 76.305, 2.196, 1249, 76.305, 77.722, 1.417, 12288, 0,     4.722,
 74, 84, 74, 74, 75.221, 1.221, 13312, 0, 75.221, 78.05, 2.829, 1334, 78.05, 79.076, 1.026, 13312, 0,     5.076,
 75, 84, 75, 75, 76.245, 1.245, 12288, 0, 76.245, 78.326, 2.081, 1211, 78.326, 80.022, 1.696, 12288, 0,     5.022,
 77, 84, 77, 77, 78.208, 1.208, 10240, 0, 78.208, 80.143, 1.935, 1086, 80.143, 80.933, 0.79, 10240, 0,     3.933,
 76, 84, 76, 76, 77.354, 1.354, 13312, 0, 77.354, 80.349, 2.995, 1375, 80.349, 81.962, 1.613, 13312, 0,     5.962,
 78, 84, 78, 78, 79.232, 1.232, 12288, 0, 79.232, 82.181, 2.949, 1222, 82.181, 83.131, 0.95, 12288, 0,     5.131,
 79, 84, 79, 79, 80.255, 1.255, 12288, 0, 80.255, 82.519, 2.264, 1297, 82.519, 84.077, 1.557, 12288, 0,     5.077,
 81, 84, 81, 81, 82.398, 1.398, 11264, 0, 82.398, 84.478, 2.081, 1176, 84.478, 85.347, 0.869, 11264, 0,     4.347,
 80, 84, 80, 80, 81.459, 1.459, 14336, 0, 81.459, 84.541, 3.082, 1415, 84.541, 86.45, 1.909, 14336, 0,     6.450,
 82, 84, 82, 82, 83.336, 1.336, 11264, 0, 83.336, 86.473, 3.136, 1192, 86.473, 87.341, 0.868, 11264, 0,     5.341,
 83, 84, 83, 83, 84.531, 1.531, 14336, 0, 84.531, 86.938, 2.407, 1438, 86.938, 88.444, 1.506, 14336, 0,     5.444,
 85, 84, 85, 85, 86.586, 1.586, 10240, 0, 86.586, 88.73, 2.144, 1065, 88.73, 89.519, 0.789, 10240, 0,     4.519,
 84, 84, 84, 84, 85.725, 1.725, 14336, 0, 85.725, 88.813, 3.088, 1401, 88.813, 90.622, 1.809, 14336, 0,     6.622,
 86, 84, 86, 86, 87.362, 1.362, 9216, 0, 87.362, 90.379, 3.017, 990, 90.379, 91.335, 0.955, 9216, 0,     5.335,
 87, 84, 87, 87, 88.388, 1.388, 12288, 0, 88.388, 90.857, 2.469, 1227, 90.857, 92.289, 1.432, 12288, 0,     5.289,
 88, 84, 88, 88, 89.583, 1.583, 14336, 0, 89.583, 92.776, 3.193, 1433, 92.776, 93.881, 1.105, 14336, 0,     5.881,
 89, 84, 89, 89, 90.53, 1.53, 11264, 0, 90.53, 92.846, 2.316, 1191, 92.846, 94.747, 1.9, 11264, 0,     5.747,
 90, 84, 90, 90, 91.383, 1.383, 10240, 0, 91.383, 94.468, 3.085, 1015, 94.468, 95.534, 1.066, 10240, 0,     5.534,
 91, 84, 91, 91, 92.497, 1.497, 13312, 0, 92.497, 95.169, 2.672, 1392, 95.169, 96.558, 1.39, 13312, 0,     5.558,
 92, 84, 92, 92, 93.35, 1.35, 10240, 0, 93.35, 96.18, 2.83, 1024, 96.18, 97.356, 1.176, 10240, 0,     5.356,
 93, 84, 93, 93, 94.463, 1.463, 13312, 0, 94.463, 97.383, 2.921, 1329, 97.383, 98.41, 1.027, 13312, 0,     5.410,
 94, 84, 94, 94, 95.487, 1.487, 12288, 0, 95.487, 98.226, 2.739, 1226, 98.226, 99.355, 1.129, 12288, 0,     5.355,
 95, 84, 95, 95, 96.596, 1.596, 13312, 0, 96.596, 99.567, 2.971, 1308, 99.567, 100.595, 1.027, 13312, 0,     5.595,
 96, 84, 96, 96, 97.535, 1.535, 11264, 0, 97.535, 100.103, 2.569, 1127, 100.103, 101.461, 1.358, 11264, 0,     5.461,
 97, 84, 97, 97, 98.388, 1.388, 10240, 0, 98.388, 101.367, 2.979, 1081, 101.367, 102.253, 0.886, 10240, 0,     5.253,
 98, 84, 98, 98, 99.244, 1.244, 10240, 0, 99.244, 101.902, 2.658, 1078, 101.902, 103.048, 1.146, 10240, 0,     5.048,
 99, 84, 99, 99, 100.012, 1.012, 9216, 0, 100.012, 102.986, 2.974, 971, 102.986, 103.757, 0.772, 9216, 0,     4.757,
 100, 84, 100, 100, 100.869, 0.869, 10240, 0, 100.869, 103.672, 2.803, 1060, 103.672, 104.545, 0.873, 10240, 0,     4.545,
 101, 84, 101, 101, 102.201, 1.201, 14336, 0, 102.201, 105.342, 3.142, 1414, 105.342, 106.456, 1.114, 14336, 0,     5.456,
 102, 84, 102, 102, 103.139, 1.139, 11264, 0, 103.139, 105.639, 2.499, 1179, 105.639, 107.325, 1.686, 11264, 0,     5.325,
 103, 84, 103, 103, 104.163, 1.163, 12288, 0, 104.163, 107.492, 3.329, 1291, 107.492, 108.439, 0.947, 12288, 0,     5.439,
 104, 84, 104, 104, 105.105, 1.105, 11264, 0, 105.105, 107.621, 2.515, 1190, 107.621, 109.313, 1.692, 11264, 0,     5.313,
 105, 84, 105, 105, 106.05, 1.05, 11264, 0, 106.05, 109.403, 3.353, 1147, 109.403, 110.271, 0.868, 11264, 0,     5.271,
 106, 84, 106, 106, 107.074, 1.074, 12288, 0, 107.074, 109.721, 2.647, 1256, 109.721, 111.224, 1.503, 12288, 0,     5.224,
 108, 84, 108, 108, 108.781, 0.781, 9216, 0, 108.781, 111.324, 2.543, 962, 111.324, 112.035, 0.711, 9216, 0,     4.035,
 107, 84, 107, 107, 108.013, 1.013, 11264, 0, 108.013, 111.394, 3.381, 1193, 111.394, 112.901, 1.507, 11264, 0,     5.901,
