Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 17, 944, 17, 17, 18.245, 1.245, 15360, 0, 18.245, 20.999, 2.754, 1551, 20.999, 22.546, 1.547, 15360, 0, 22.546, 24.851, 2.305, 2250, 24.851, 25.985, 1.134, 11264, 0, 25.985, 28.237, 2.252, 1650, 28.237, 29.263, 1.026, 14336, 0,    12.263,
 20, 944, 20, 20, 21.088, 1.088, 11264, 0, 21.088, 22.8, 1.712, 1114, 22.8, 23.613, 0.813, 11264, 0, 23.613, 25.309, 1.696, 1650, 25.309, 26.804, 1.495, 8192, 0, 26.804, 28.435, 1.631, 1200, 28.435, 30, 1.565, 10240, 0,    10.000,
 19, 944, 19, 19, 20.221, 1.221, 15360, 0, 20.221, 23.032, 2.811, 1502, 23.032, 24.717, 1.685, 15360, 0, 24.717, 27.161, 2.444, 2250, 27.161, 28.29, 1.128, 11264, 0, 28.29, 30.547, 2.257, 1650, 30.547, 31.573, 1.026, 14336, 0,    12.573,
 21, 944, 21, 21, 22.19, 1.19, 14336, 0, 22.19, 25.011, 2.821, 1435, 25.011, 26.045, 1.034, 14336, 0, 26.045, 28.207, 2.162, 2100, 28.207, 29.314, 1.107, 10240, 0, 29.314, 31.355, 2.041, 1500, 31.355, 32.523, 1.169, 13312, 0,    11.523,
 22, 944, 22, 22, 23.293, 1.293, 14336, 0, 23.293, 25.551, 2.258, 1463, 25.551, 27.073, 1.522, 14336, 0, 27.073, 29.318, 2.245, 2100, 29.318, 30.343, 1.026, 10240, 0, 30.343, 32.614, 2.27, 1500, 32.614, 33.569, 0.955, 13312, 0,    11.569,
 23, 944, 23, 23, 24.396, 1.396, 14336, 0, 24.396, 27.269, 2.873, 1468, 27.269, 28.3, 1.031, 14336, 0, 28.3, 30.453, 2.153, 2100, 30.453, 31.479, 1.026, 10240, 0, 31.479, 33.533, 2.054, 1500, 33.533, 34.526, 0.993, 13312, 0,    11.526,
 24, 944, 24, 24, 25.587, 1.587, 15360, 0, 25.587, 27.971, 2.384, 1546, 27.971, 29.401, 1.43, 15360, 0, 29.401, 31.719, 2.319, 2250, 31.719, 32.855, 1.135, 11264, 0, 32.855, 35.112, 2.258, 1650, 35.112, 36.139, 1.027, 14336, 0,    12.139,
 25, 944, 25, 25, 26.454, 1.454, 11264, 0, 26.454, 29.092, 2.638, 1186, 29.092, 30.215, 1.123, 11264, 0, 30.215, 32.152, 1.938, 1650, 32.152, 33.678, 1.525, 8192, 0, 33.678, 35.324, 1.646, 1200, 35.324, 36.871, 1.547, 10240, 0,    11.871,
 26, 944, 26, 26, 27.477, 1.477, 13312, 0, 27.477, 30.017, 2.54, 1331, 30.017, 31.168, 1.151, 13312, 0, 31.168, 33.718, 2.55, 1950, 33.718, 34.65, 0.932, 9216, 0, 34.65, 36.958, 2.308, 1350, 36.958, 37.844, 0.886, 12288, 0,    11.844,
 27, 944, 27, 27, 28.58, 1.58, 14336, 0, 28.58, 31.355, 2.775, 1466, 31.355, 32.381, 1.026, 14336, 0, 32.381, 34.54, 2.159, 2100, 34.54, 35.674, 1.134, 10240, 0, 35.674, 37.725, 2.051, 1500, 37.725, 38.795, 1.07, 13312, 0,    11.795,
