Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 0, 0, 0, 0.997, 0.997, 13312, 0, 0.997, 2.162, 1.166, 664, 2.162, 3.166, 1.004, 19456, 0, 3.166, 4.121, 0.955, 1520, 4.121, 5.08, 0.959, 9216, 0, 5.08, 6.013, 0.933, 1350, 6.013, 6.848, 0.835, 6144, 0, 6.848, 7.755, 0.906, 1200, 7.755, 8.209, 0.455, 5120, 0,     8.209,
 1, 0, 1, 1, 2.162, 1.162, 15360, 0, 2.162, 3.337, 1.174, 761, 3.337, 4.481, 1.144, 22528, 0, 4.481, 5.69, 1.209, 1760, 5.69, 6.86, 1.17, 11264, 0, 6.86, 7.976, 1.116, 1650, 7.976, 9.001, 1.025, 7168, 0, 9.001, 10.082, 1.081, 1400, 10.082, 10.548, 0.465, 5120, 0,     9.548,
 2, 0, 2, 2, 2.957, 0.957, 10240, 0, 2.957, 4.175, 1.218, 544, 4.175, 5.32, 1.144, 16384, 0, 5.32, 6.518, 1.199, 1280, 6.518, 7.691, 1.173, 8192, 0, 7.691, 8.815, 1.124, 1200, 8.815, 9.703, 0.888, 5120, 0, 9.703, 10.969, 1.266, 1000, 10.969, 11.342, 0.373, 4096, 0,     9.342,
 3, 0, 3, 3, 3.946, 0.946, 12288, 0, 3.946, 5.162, 1.215, 606, 5.162, 6.295, 1.134, 18432, 0, 6.295, 7.444, 1.149, 1440, 7.444, 8.613, 1.169, 9216, 0, 8.613, 9.781, 1.168, 1350, 9.781, 10.629, 0.848, 6144, 0, 10.629, 11.944, 1.315, 1200, 11.944, 12.402, 0.459, 5120, 0,     9.402,
 4, 0, 4, 4, 4.963, 0.963, 13312, 0, 4.963, 6.227, 1.265, 670, 6.227, 7.398, 1.171, 20480, 0, 7.398, 8.502, 1.103, 1600, 8.502, 9.629, 1.128, 10240, 0, 9.629, 10.852, 1.223, 1500, 10.852, 11.735, 0.883, 6144, 0, 11.735, 12.851, 1.116, 1200, 12.851, 13.337, 0.486, 5120, 0,     9.337,
 5, 0, 5, 5, 5.96, 0.96, 12288, 0, 5.96, 7.239, 1.28, 642, 7.239, 8.378, 1.139, 19456, 0, 8.378, 9.5, 1.122, 1520, 9.5, 10.537, 1.037, 9216, 0, 10.537, 11.775, 1.238, 1350, 11.775, 12.668, 0.893, 6144, 0, 12.668, 13.848, 1.18, 1200, 13.848, 14.317, 0.468, 5120, 0,     9.317,
 6, 0, 6, 6, 6.878, 0.878, 11264, 0, 6.878, 8.09, 1.212, 551, 8.09, 9.164, 1.074, 16384, 0, 9.164, 10.333, 1.169, 1280, 10.333, 11.331, 0.998, 8192, 0, 11.331, 12.618, 1.287, 1200, 12.618, 13.379, 0.761, 5120, 0, 13.379, 14.644, 1.266, 1000, 14.644, 15.029, 0.385, 4096, 0,     9.029,
 7, 0, 7, 7, 7.832, 0.832, 11264, 0, 7.832, 8.96, 1.128, 550, 8.96, 10.001, 1.041, 16384, 0, 10.001, 11.222, 1.221, 1280, 11.222, 12.131, 0.909, 8192, 0, 12.131, 13.473, 1.341, 1200, 13.473, 14.249, 0.776, 5120, 0, 14.249, 15.421, 1.172, 1000, 15.421, 15.787, 0.366, 4096, 0,     8.787,
 8, 0, 8, 8, 8.847, 0.847, 11264, 0, 8.847, 9.804, 0.957, 558, 9.804, 10.833, 1.029, 16384, 0, 10.833, 12.044, 1.211, 1280, 12.044, 12.932, 0.888, 8192, 0, 12.932, 14.304, 1.371, 1200, 14.304, 14.983, 0.68, 5120, 0, 14.983, 16.226, 1.243, 1000, 16.226, 16.585, 0.358, 4096, 0,     8.585,
 9, 0, 9, 9, 10.116, 1.116, 14336, 0, 10.116, 11.243, 1.128, 714, 11.243, 12.348, 1.105, 21504, 0, 12.348, 13.501, 1.153, 1680, 13.501, 14.614, 1.113, 10240, 0, 14.614, 15.687, 1.073, 1500, 15.687, 16.585, 0.898, 6144, 0, 16.585, 17.598, 1.014, 1200, 17.598, 18.066, 0.468, 5120, 0,     9.066,
