event_arrival_time,HostName,failure_time,recovery_time
0.0,DC1-HRG1-2,72.29999884036121,75.25114679321688
0.0,DC2-HRG5-2,82.9051030674285,85.24772581724177
0.0,DC2-HRG5-1,162.2580770525899,163.9406208837887
0.0,DC2-HRG5-2,174.3838409779298,177.46772463873256
0.0,DC1-HRG1-2,232.2817209428361,235.17157185818175
0.0,DC1-HRG1-1,312.6662630138358,314.52741979119855
0.0,DC2-HRG5-1,340.5063912762803,342.74630949969884
0.0,DC1-HRG1-1,379.41218091394865,381.5216715691358
0.0,DC2-HRG5-1,603.096636437047,605.2163200085939
0.0,DC2-HRG5-1,645.927538234331,648.0531017016621
0.0,DC1-HRG1-1,666.3376260744558,667.7981536091263
0.0,DC2-HRG5-1,703.8270584341527,705.8398181798065
0.0,DC2-HRG5-1,732.299322118499,734.4371991643767
0.0,DC2-HRG5-2,733.4015019910854,735.626739783665
0.0,DC2-HRG5-1,749.6542518448249,751.4893865269512
0.0,DC1-HRG1-1,787.9090749235202,789.5467179328599
0.0,DC2-HRG5-1,822.4240339268235,824.3637000178231
0.0,DC2-HRG5-1,905.3055200539332,907.3058152726863
0.0,DC2-HRG5-2,935.6011413592247,938.6703133215885
0.0,DC2-HRG5-1,963.9351600921759,965.7685526937579
0.0,DC1-HRG1-2,965.3254951813525,967.7795968396529
0.0,DC2-HRG5-2,1013.4775940699064,1015.770550785561
0.0,DC2-HRG5-2,1069.7705853512568,1071.9206684977307
