Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 0, 18, 0, 0, 0.843, 0.843, 9216, 0, 0.843, 1.733, 0.891, 496, 1.733, 2.584, 0.851, 14336, 0, 2.584, 3.423, 0.839, 2800, 3.423, 3.832, 0.41, 11264, 0,     3.832,
 1, 18, 1, 1, 2.037, 1.037, 11264, 0, 2.037, 3.093, 1.056, 575, 3.093, 4.117, 1.024, 17408, 0, 4.117, 5.174, 1.057, 3400, 5.174, 5.686, 0.512, 14336, 0,     4.686,
 2, 18, 2, 2, 2.873, 0.873, 9216, 0, 2.873, 3.902, 1.028, 450, 3.902, 4.899, 0.997, 13312, 0, 4.899, 5.966, 1.067, 2600, 5.966, 6.337, 0.37, 10240, 0,     4.337,
 3, 18, 3, 3, 3.845, 0.845, 9216, 0, 3.845, 4.807, 0.961, 492, 4.807, 5.746, 0.94, 14336, 0, 5.746, 6.831, 1.084, 2800, 6.831, 7.233, 0.402, 11264, 0,     4.233,
 4, 18, 4, 4, 4.834, 0.834, 9216, 0, 4.834, 5.655, 0.821, 451, 5.655, 6.539, 0.884, 13312, 0, 6.539, 7.621, 1.083, 2600, 7.621, 7.991, 0.37, 10240, 0,     3.991,
 5, 18, 5, 5, 6.158, 1.158, 12288, 0, 6.158, 7.282, 1.125, 619, 7.282, 8.371, 1.089, 18432, 0, 8.371, 9.465, 1.094, 3600, 9.465, 10.022, 0.557, 15360, 0,     5.022,
 6, 18, 6, 6, 7.192, 1.192, 11264, 0, 7.192, 8.308, 1.116, 561, 8.308, 9.33, 1.022, 16384, 0, 9.33, 10.433, 1.104, 3200, 10.433, 10.925, 0.491, 13312, 0,     4.925,
 7, 18, 7, 7, 8.318, 1.318, 12288, 0, 8.318, 9.445, 1.127, 624, 9.445, 10.547, 1.103, 18432, 0, 10.547, 11.641, 1.093, 3600, 11.641, 12.189, 0.548, 15360, 0,     5.189,
 8, 18, 8, 8, 9.349, 1.349, 11264, 0, 9.349, 10.5, 1.151, 577, 10.5, 11.568, 1.069, 17408, 0, 11.568, 12.673, 1.104, 3400, 12.673, 13.183, 0.51, 14336, 0,     5.183,
 9, 18, 9, 9, 10.376, 1.376, 11264, 0, 10.376, 11.566, 1.19, 582, 11.566, 12.609, 1.043, 17408, 0, 12.609, 13.713, 1.104, 3400, 13.713, 14.231, 0.518, 14336, 0,     5.231,
 10, 18, 10, 10, 11.228, 1.228, 9216, 0, 11.228, 12.449, 1.221, 485, 12.449, 13.451, 1.002, 14336, 0, 13.451, 14.569, 1.118, 2800, 14.569, 14.972, 0.403, 11264, 0,     4.972,
