event_arrival_time,HostName,failure_time,recovery_time
0.0,DC2-HRG5-1,12.499416000029512,13.734732932339977
0.0,DC1-HRG1-1,24.612360212876172,26.46251606705122
0.0,DC1-HRG1-2,26.752329997468724,29.462882036316415
0.0,DC1-HRG1-1,45.840010359270664,47.792204857138714
0.0,DC2-HRG5-1,141.5795413857021,143.39164605156668
0.0,DC2-HRG5-1,161.15186366936697,162.88893900038244
0.0,DC1-HRG1-1,162.389792655484,164.42587894122966
0.0,DC2-HRG5-2,182.88697884219087,184.964045150695
0.0,DC2-HRG5-2,209.9131986303747,212.25098616880516
0.0,DC2-HRG5-2,221.81520895485747,224.19347729259053
0.0,DC2-HRG5-2,253.03533528871628,254.87922784384972
0.0,DC1-HRG1-2,285.82844809281227,288.39234163698416
0.0,DC2-HRG5-1,326.0241278775105,327.43424107514875
0.0,DC2-HRG5-2,370.7290146272952,372.6094558561386
0.0,DC2-HRG5-1,424.1604689163716,425.89525234137193
0.0,DC2-HRG5-2,430.3874460182656,432.18268988999546
0.0,DC2-HRG5-1,450.17195251893395,451.81898350440156
0.0,DC2-HRG5-2,464.98108640404115,466.8241456630741
0.0,DC2-HRG5-2,485.11830765662904,487.2894579266291
0.0,DC1-HRG1-2,561.2412416028342,563.7914143895551
0.0,DC2-HRG5-1,576.9394776627223,578.6817664493733
0.0,DC1-HRG1-2,601.9380631304384,604.6644270250497
0.0,DC2-HRG5-2,692.8625178903244,694.7839523042483
0.0,DC2-HRG5-2,746.5007919375308,748.992289921442
0.0,DC2-HRG5-1,766.9650698908645,768.3988810094443
0.0,DC2-HRG5-2,803.9989469321226,806.0175740476925
0.0,DC1-HRG1-1,875.1703941143141,877.2854447731369
0.0,DC2-HRG5-1,889.2644816132587,890.8980739812888
0.0,DC2-HRG5-1,893.0521596467851,894.7320157865252
0.0,DC2-HRG5-1,907.5423279505177,908.8146373974326
0.0,DC2-HRG5-2,913.1403772250612,915.1259794804363
0.0,DC2-HRG5-2,954.5655157531254,956.3760499785702
0.0,DC2-HRG5-2,975.871392867285,977.7890727394245
0.0,DC2-HRG5-1,991.0430666346656,992.2654281332565
0.0,DC2-HRG5-1,1041.8889246514443,1043.6876886929454
0.0,DC1-HRG1-2,1056.9400737214069,1059.0849546495397
